# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s]
0,0.009,40,1600,2.63249e-05,300,300.164,0.290705,0,0,0,0,785.576
3.13042e-06,0.00900091,40.0038,1600.3,2.63245e-05,299.996,300.166,0.290707,-1.27702e-10,-1207.36,-5.46566e-08,0.000478631,785.58
6.26084e-06,0.00900182,40.0035,1600.28,2.63241e-05,299.992,300.169,0.290709,-1.2763e-10,-1206.33,-5.46257e-08,0.000495285,785.583
9.39126e-06,0.00900273,40.0033,1600.26,2.63237e-05,299.989,300.171,0.290711,-1.27558e-10,-1205.3,-5.45948e-08,0.000511931,785.587
1.25217e-05,0.00900364,40.003,1600.24,2.63233e-05,299.985,300.173,0.290713,-1.27486e-10,-1204.27,-5.4564e-08,0.000528568,785.59
1.56521e-05,0.00900455,40.0027,1600.22,2.63229e-05,299.981,300.175,0.290715,-1.27414e-10,-1203.24,-5.45332e-08,0.000545196,785.594
1.87825e-05,0.00900546,40.0025,1600.2,2.63225e-05,299.977,300.177,0.290717,-1.27342e-10,-1202.21,-5.45024e-08,0.000561816,785.597
2.19129e-05,0.00900637,40.0022,1600.18,2.63221e-05,299.974,300.179,0.29072,-1.2727e-10,-1201.19,-5.44717e-08,0.000578427,785.601
2.50434e-05,0.00900728,40.002,1600.16,2.63217e-05,299.97,300.181,0.290722,-1.27199e-10,-1200.16,-5.4441e-08,0.00059503,785.604
2.81738e-05,0.00900819,40.0017,1600.14,2.63213e-05,299.966,300.184,0.290724,-1.27127e-10,-1199.13,-5.44104e-08,0.000611625,785.608
3.13042e-05,0.0090091,40.0014,1600.11,2.63209e-05,299.962,300.186,0.290726,-1.27055e-10,-1198.11,-5.43797e-08,0.000628211,785.611
3.44346e-05,0.00901,40.0012,1600.09,2.63205e-05,299.959,300.188,0.290728,-1.26984e-10,-1197.08,-5.43491e-08,0.000644788,785.615
3.7565e-05,0.00901091,40.0009,1600.07,2.63201e-05,299.955,300.19,0.29073,-1.26913e-10,-1196.06,-5.43186e-08,0.000661357,785.618
4.06955e-05,0.00901182,40.0007,1600.05,2.63197e-05,299.951,300.192,0.290732,-1.26841e-10,-1195.04,-5.4288e-08,0.000677918,785.622
4.38259e-05,0.00901273,40.0004,1600.03,2.63193e-05,299.947,300.194,0.290735,-1.2677e-10,-1194.01,-5.42575e-08,0.00069447,785.625
4.69563e-05,0.00901364,40.0001,1600.01,2.63189e-05,299.944,300.196,0.290737,-1.26699e-10,-1192.99,-5.4227e-08,0.000711013,785.629
5.00867e-05,0.00901455,39.9999,1599.99,2.63185e-05,299.94,300.199,0.290739,-1.26628e-10,-1191.97,-5.41966e-08,0.000727549,785.632
5.32172e-05,0.00901546,39.9996,1599.97,2.63181e-05,299.936,300.201,0.290741,-1.26557e-10,-1190.95,-5.41662e-08,0.000744075,785.636
5.63476e-05,0.00901637,39.9994,1599.95,2.63177e-05,299.932,300.203,0.290743,-1.26486e-10,-1189.93,-5.41358e-08,0.000760594,785.639
5.9478e-05,0.00901728,39.9991,1599.93,2.63173e-05,299.929,300.205,0.290745,-1.26415e-10,-1188.92,-5.41055e-08,0.000777103,785.642
6.26084e-05,0.00901819,39.9988,1599.91,2.63169e-05,299.925,300.207,0.290747,-1.26344e-10,-1187.9,-5.40752e-08,0.000793605,785.646
6.57388e-05,0.0090191,39.9986,1599.89,2.63166e-05,299.921,300.209,0.29075,-1.26273e-10,-1186.88,-5.40449e-08,0.000810098,785.649
6.88693e-05,0.00902001,39.9983,1599.87,2.63162e-05,299.918,300.211,0.290752,-1.26202e-10,-1185.87,-5.40146e-08,0.000826582,785.653
7.19997e-05,0.00902092,39.9981,1599.84,2.63158e-05,299.914,300.213,0.290754,-1.26132e-10,-1184.85,-5.39844e-08,0.000843058,785.656
7.51301e-05,0.00902183,39.9978,1599.82,2.63154e-05,299.91,300.216,0.290756,-1.26061e-10,-1183.84,-5.39542e-08,0.000859526,785.66
7.82605e-05,0.00902274,39.9975,1599.8,2.6315e-05,299.906,300.218,0.290758,-1.25991e-10,-1182.82,-5.39241e-08,0.000875985,785.663
8.13909e-05,0.00902365,39.9973,1599.78,2.63146e-05,299.903,300.22,0.29076,-1.2592e-10,-1181.81,-5.3894e-08,0.000892436,785.667
8.45214e-05,0.00902456,39.997,1599.76,2.63142e-05,299.899,300.222,0.290762,-1.2585e-10,-1180.8,-5.38639e-08,0.000908879,785.67
8.76518e-05,0.00902547,39.9968,1599.74,2.63138e-05,299.895,300.224,0.290764,-1.2578e-10,-1179.79,-5.38338e-08,0.000925313,785.674
9.07822e-05,0.00902638,39.9965,1599.72,2.63134e-05,299.892,300.226,0.290767,-1.2571e-10,-1178.78,-5.38038e-08,0.000941738,785.677
9.39126e-05,0.00902729,39.9962,1599.7,2.6313e-05,299.888,300.228,0.290769,-1.2564e-10,-1177.77,-5.37738e-08,0.000958156,785.68
9.7043e-05,0.0090282,39.996,1599.68,2.63126e-05,299.884,300.231,0.290771,-1.2557e-10,-1176.76,-5.37438e-08,0.000974564,785.684
0.000100173,0.00902911,39.9957,1599.66,2.63122e-05,299.881,300.233,0.290773,-1.255e-10,-1175.75,-5.37139e-08,0.000990965,785.687
0.000103304,0.00903001,39.9955,1599.64,2.63118e-05,299.877,300.235,0.290775,-1.2543e-10,-1174.75,-5.3684e-08,0.00100736,785.691
0.000106434,0.00903092,39.9952,1599.62,2.63114e-05,299.873,300.237,0.290777,-1.2536e-10,-1173.74,-5.36541e-08,0.00102374,785.694
0.000109565,0.00903183,39.995,1599.6,2.6311e-05,299.87,300.239,0.290779,-1.2529e-10,-1172.73,-5.36243e-08,0.00104012,785.698
0.000112695,0.00903274,39.9947,1599.58,2.63106e-05,299.866,300.241,0.290782,-1.25221e-10,-1171.73,-5.35945e-08,0.00105648,785.701
0.000115826,0.00903365,39.9944,1599.56,2.63103e-05,299.862,300.243,0.290784,-1.25151e-10,-1170.73,-5.35647e-08,0.00107284,785.704
0.000118956,0.00903456,39.9942,1599.54,2.63099e-05,299.859,300.246,0.290786,-1.25082e-10,-1169.72,-5.3535e-08,0.00108919,785.708
0.000122086,0.00903547,39.9939,1599.51,2.63095e-05,299.855,300.248,0.290788,-1.25012e-10,-1168.72,-5.35053e-08,0.00110553,785.711
0.000125217,0.00903638,39.9937,1599.49,2.63091e-05,299.851,300.25,0.29079,-1.24943e-10,-1167.72,-5.34756e-08,0.00112187,785.715
0.000128347,0.00903729,39.9934,1599.47,2.63087e-05,299.848,300.252,0.290792,-1.24874e-10,-1166.72,-5.34459e-08,0.00113819,785.718
0.000131478,0.0090382,39.9932,1599.45,2.63083e-05,299.844,300.254,0.290794,-1.24804e-10,-1165.72,-5.34163e-08,0.00115451,785.722
0.000134608,0.00903911,39.9929,1599.43,2.63079e-05,299.84,300.256,0.290797,-1.24735e-10,-1164.72,-5.33867e-08,0.00117082,785.725
0.000137739,0.00904002,39.9927,1599.41,2.63075e-05,299.837,300.258,0.290799,-1.24666e-10,-1163.72,-5.33572e-08,0.00118712,785.728
0.000140869,0.00904093,39.9924,1599.39,2.63071e-05,299.833,300.261,0.290801,-1.24597e-10,-1162.72,-5.33277e-08,0.00120341,785.732
0.000143999,0.00904184,39.9921,1599.37,2.63067e-05,299.829,300.263,0.290803,-1.24528e-10,-1161.73,-5.32982e-08,0.00121969,785.735
0.00014713,0.00904275,39.9919,1599.35,2.63063e-05,299.826,300.265,0.290805,-1.2446e-10,-1160.73,-5.32687e-08,0.00123597,785.738
0.00015026,0.00904366,39.9916,1599.33,2.6306e-05,299.822,300.267,0.290807,-1.24391e-10,-1159.73,-5.32393e-08,0.00125223,785.742
0.000153391,0.00904457,39.9914,1599.31,2.63056e-05,299.818,300.269,0.290809,-1.24322e-10,-1158.74,-5.32099e-08,0.00126849,785.745
0.000156521,0.00904548,39.9911,1599.29,2.63052e-05,299.815,300.271,0.290812,-1.24254e-10,-1157.75,-5.31805e-08,0.00128474,785.749
0.000159651,0.00904639,39.9909,1599.27,2.63048e-05,299.811,300.273,0.290814,-1.24185e-10,-1156.75,-5.31512e-08,0.00130099,785.752
0.000162782,0.0090473,39.9906,1599.25,2.63044e-05,299.808,300.276,0.290816,-1.24116e-10,-1155.76,-5.31219e-08,0.00131722,785.755
0.000165912,0.00904821,39.9904,1599.23,2.6304e-05,299.804,300.278,0.290818,-1.24048e-10,-1154.77,-5.30926e-08,0.00133344,785.759
0.000169043,0.00904912,39.9901,1599.21,2.63036e-05,299.8,300.28,0.29082,-1.2398e-10,-1153.78,-5.30633e-08,0.00134966,785.762
0.000172173,0.00905002,39.9899,1599.19,2.63032e-05,299.797,300.282,0.290822,-1.23911e-10,-1152.79,-5.30341e-08,0.00136587,785.765
0.000175304,0.00905093,39.9896,1599.17,2.63028e-05,299.793,300.284,0.290824,-1.23843e-10,-1151.8,-5.30049e-08,0.00138207,785.769
0.000178434,0.00905184,39.9893,1599.15,2.63025e-05,299.789,300.286,0.290826,-1.23775e-10,-1150.81,-5.29758e-08,0.00139826,785.772
0.000181564,0.00905275,39.9891,1599.13,2.63021e-05,299.786,300.288,0.290829,-1.23707e-10,-1149.82,-5.29467e-08,0.00141445,785.776
0.000184695,0.00905366,39.9888,1599.11,2.63017e-05,299.782,300.29,0.290831,-1.23639e-10,-1148.84,-5.29176e-08,0.00143062,785.779
0.000187825,0.00905457,39.9886,1599.09,2.63013e-05,299.779,300.293,0.290833,-1.23571e-10,-1147.85,-5.28885e-08,0.00144679,785.782
0.000190956,0.00905548,39.9883,1599.07,2.63009e-05,299.775,300.295,0.290835,-1.23503e-10,-1146.87,-5.28595e-08,0.00146295,785.786
0.000194086,0.00905639,39.9881,1599.05,2.63005e-05,299.771,300.297,0.290837,-1.23436e-10,-1145.88,-5.28305e-08,0.0014791,785.789
0.000197217,0.0090573,39.9878,1599.03,2.63001e-05,299.768,300.299,0.290839,-1.23368e-10,-1144.9,-5.28015e-08,0.00149524,785.792
0.000200347,0.00905821,39.9876,1599.01,2.62998e-05,299.764,300.301,0.290841,-1.233e-10,-1143.91,-5.27726e-08,0.00151138,785.796
0.000203477,0.00905912,39.9873,1598.99,2.62994e-05,299.761,300.303,0.290844,-1.23233e-10,-1142.93,-5.27436e-08,0.0015275,785.799
0.000206608,0.00906003,39.9871,1598.97,2.6299e-05,299.757,300.305,0.290846,-1.23165e-10,-1141.95,-5.27148e-08,0.00154362,785.802
0.000209738,0.00906094,39.9868,1598.95,2.62986e-05,299.754,300.308,0.290848,-1.23098e-10,-1140.97,-5.26859e-08,0.00155973,785.806
0.000212869,0.00906185,39.9866,1598.93,2.62982e-05,299.75,300.31,0.29085,-1.23031e-10,-1139.99,-5.26571e-08,0.00157583,785.809
0.000215999,0.00906276,39.9863,1598.91,2.62978e-05,299.746,300.312,0.290852,-1.22963e-10,-1139.01,-5.26283e-08,0.00159193,785.812
0.000219129,0.00906367,39.9861,1598.89,2.62974e-05,299.743,300.314,0.290854,-1.22896e-10,-1138.03,-5.25996e-08,0.00160801,785.816
0.00022226,0.00906458,39.9858,1598.87,2.62971e-05,299.739,300.316,0.290856,-1.22829e-10,-1137.06,-5.25708e-08,0.00162409,785.819
0.00022539,0.00906549,39.9856,1598.85,2.62967e-05,299.736,300.318,0.290859,-1.22762e-10,-1136.08,-5.25421e-08,0.00164016,785.822
0.000228521,0.0090664,39.9853,1598.83,2.62963e-05,299.732,300.32,0.290861,-1.22695e-10,-1135.1,-5.25135e-08,0.00165622,785.826
0.000231651,0.00906731,39.9851,1598.81,2.62959e-05,299.729,300.324,0.290864,-1.22629e-10,-1134.04,-5.2485e-08,0.00167635,785.829
0.000234782,0.00906822,39.9848,1598.79,2.62955e-05,299.725,300.328,0.290868,-1.22562e-10,-1132.93,-5.24567e-08,0.0016982,785.832
0.000237912,0.00906913,39.9846,1598.77,2.62951e-05,299.722,300.332,0.290873,-1.22496e-10,-1131.83,-5.24284e-08,0.00172003,785.835
0.000241042,0.00907004,39.9843,1598.75,2.62948e-05,299.718,300.337,0.290877,-1.2243e-10,-1130.73,-5.24002e-08,0.00174186,785.839
0.000244173,0.00907094,39.9841,1598.73,2.62944e-05,299.714,300.341,0.290881,-1.22364e-10,-1129.63,-5.2372e-08,0.00176368,785.842
0.000247303,0.00907185,39.9838,1598.71,2.6294e-05,299.711,300.345,0.290885,-1.22299e-10,-1128.53,-5.23438e-08,0.00178549,785.845
0.000250434,0.00907276,39.9836,1598.69,2.62936e-05,299.707,300.349,0.29089,-1.22233e-10,-1127.43,-5.23157e-08,0.0018073,785.849
0.000253564,0.00907367,39.9833,1598.67,2.62932e-05,299.704,300.353,0.290894,-1.22167e-10,-1126.33,-5.22875e-08,0.00182909,785.852
0.000256695,0.00907458,39.9831,1598.65,2.62928e-05,299.7,300.357,0.290898,-1.22102e-10,-1125.23,-5.22595e-08,0.00185088,785.855
0.000259825,0.00907549,39.9828,1598.63,2.62925e-05,299.697,300.362,0.290902,-1.22036e-10,-1124.13,-5.22314e-08,0.00187266,785.859
0.000262955,0.0090764,39.9826,1598.61,2.62921e-05,299.693,300.366,0.290906,-1.21971e-10,-1123.04,-5.22034e-08,0.00189443,785.862
0.000266086,0.00907731,39.9823,1598.59,2.62917e-05,299.69,300.37,0.290911,-1.21905e-10,-1121.94,-5.21754e-08,0.00191619,785.865
0.000269216,0.00907822,39.9821,1598.57,2.62913e-05,299.686,300.374,0.290915,-1.2184e-10,-1120.85,-5.21475e-08,0.00193794,785.868
0.000272347,0.00907913,39.9818,1598.55,2.62909e-05,299.683,300.378,0.290919,-1.21775e-10,-1119.75,-5.21195e-08,0.00195969,785.872
0.000275477,0.00908004,39.9816,1598.53,2.62905e-05,299.679,300.383,0.290923,-1.21709e-10,-1118.66,-5.20917e-08,0.00198143,785.875
0.000278607,0.00908095,39.9813,1598.51,2.62902e-05,299.676,300.387,0.290927,-1.21644e-10,-1117.57,-5.20638e-08,0.00200315,785.878
0.000281738,0.00908186,39.9811,1598.49,2.62898e-05,299.672,300.391,0.290932,-1.21579e-10,-1116.47,-5.2036e-08,0.00202488,785.881
0.000284868,0.00908277,39.9808,1598.47,2.62894e-05,299.669,300.395,0.290936,-1.21514e-10,-1115.38,-5.20082e-08,0.00204659,785.885
0.000287999,0.00908368,39.9806,1598.45,2.6289e-05,299.665,300.399,0.29094,-1.2145e-10,-1114.29,-5.19804e-08,0.00206829,785.888
0.000291129,0.00908459,39.9803,1598.43,2.62886e-05,299.662,300.404,0.290944,-1.21385e-10,-1113.2,-5.19527e-08,0.00208999,785.891
0.00029426,0.0090855,39.9801,1598.41,2.62883e-05,299.658,300.408,0.290948,-1.2132e-10,-1112.12,-5.1925e-08,0.00211167,785.894
0.00029739,0.00908641,39.9798,1598.39,2.62879e-05,299.655,300.412,0.290953,-1.21256e-10,-1111.03,-5.18974e-08,0.00213335,785.898
0.00030052,0.00908732,39.9796,1598.37,2.62875e-05,299.651,300.416,0.290957,-1.21191e-10,-1109.94,-5.18698e-08,0.00215502,785.901
0.000303651,0.00908823,39.9793,1598.35,2.62871e-05,299.648,300.42,0.290961,-1.21127e-10,-1108.86,-5.18422e-08,0.00217669,785.904
0.000306781,0.00908914,39.9791,1598.33,2.62867e-05,299.644,300.424,0.290965,-1.21062e-10,-1107.77,-5.18146e-08,0.00219834,785.907
0.000309912,0.00909005,39.9788,1598.31,2.62864e-05,299.641,300.429,0.29097,-1.20998e-10,-1106.69,-5.17871e-08,0.00221999,785.911
0.000313042,0.00909096,39.9786,1598.29,2.6286e-05,299.637,300.433,0.290974,-1.20934e-10,-1105.6,-5.17596e-08,0.00224163,785.914
0.000316173,0.00909187,39.9784,1598.27,2.62856e-05,299.634,300.437,0.290978,-1.20869e-10,-1104.52,-5.17321e-08,0.00226326,785.917
0.000319303,0.00909277,39.9781,1598.25,2.62852e-05,299.631,300.441,0.290982,-1.20805e-10,-1103.44,-5.17047e-08,0.00228488,785.92
0.000322433,0.00909368,39.9779,1598.23,2.62849e-05,299.627,300.445,0.290986,-1.20741e-10,-1102.36,-5.16773e-08,0.00230649,785.923
0.000325564,0.00909459,39.9776,1598.21,2.62845e-05,299.624,300.45,0.290991,-1.20677e-10,-1101.28,-5.16499e-08,0.0023281,785.927
0.000328694,0.0090955,39.9774,1598.19,2.62841e-05,299.62,300.454,0.290995,-1.20614e-10,-1100.2,-5.16226e-08,0.00234969,785.93
0.000331825,0.00909641,39.9771,1598.17,2.62837e-05,299.617,300.458,0.290999,-1.2055e-10,-1099.12,-5.15953e-08,0.00237128,785.933
0.000334955,0.00909732,39.9769,1598.15,2.62833e-05,299.613,300.462,0.291003,-1.20486e-10,-1098.04,-5.1568e-08,0.00239286,785.936
0.000338085,0.00909823,39.9766,1598.13,2.6283e-05,299.61,300.466,0.291007,-1.20422e-10,-1096.96,-5.15408e-08,0.00241443,785.94
0.000341216,0.00909914,39.9764,1598.11,2.62826e-05,299.606,300.47,0.291012,-1.20359e-10,-1095.89,-5.15136e-08,0.002436,785.943
0.000344346,0.00910005,39.9761,1598.09,2.62822e-05,299.603,300.475,0.291016,-1.20295e-10,-1094.81,-5.14864e-08,0.00245755,785.946
0.000347477,0.00910096,39.9759,1598.07,2.62818e-05,299.6,300.479,0.29102,-1.20232e-10,-1093.74,-5.14593e-08,0.0024791,785.949
0.000350607,0.00910187,39.9756,1598.05,2.62815e-05,299.596,300.483,0.291024,-1.20169e-10,-1092.66,-5.14321e-08,0.00250064,785.952
0.000353738,0.00910278,39.9754,1598.03,2.62811e-05,299.593,300.487,0.291028,-1.20105e-10,-1091.59,-5.14051e-08,0.00252217,785.955
0.000356868,0.00910369,39.9752,1598.01,2.62807e-05,299.589,300.491,0.291033,-1.20042e-10,-1090.52,-5.1378e-08,0.0025437,785.959
0.000359998,0.0091046,39.9749,1597.99,2.62803e-05,299.586,300.496,0.291037,-1.19979e-10,-1089.45,-5.1351e-08,0.00256521,785.962
0.000363129,0.00910551,39.9747,1597.97,2.628e-05,299.582,300.5,0.291041,-1.19916e-10,-1088.38,-5.1324e-08,0.00258672,785.965
0.000366259,0.00910642,39.9744,1597.95,2.62796e-05,299.579,300.504,0.291045,-1.19853e-10,-1087.31,-5.12971e-08,0.00260822,785.968
0.00036939,0.00910733,39.9742,1597.94,2.62792e-05,299.576,300.508,0.29105,-1.1979e-10,-1086.24,-5.12701e-08,0.00262971,785.971
0.00037252,0.00910824,39.9739,1597.92,2.62788e-05,299.572,300.512,0.291054,-1.19727e-10,-1085.17,-5.12433e-08,0.00265119,785.975
0.00037565,0.00910915,39.9737,1597.9,2.62785e-05,299.569,300.517,0.291058,-1.19664e-10,-1084.1,-5.12164e-08,0.00267266,785.978
0.000378781,0.00911006,39.9735,1597.88,2.62781e-05,299.565,300.521,0.291062,-1.19602e-10,-1083.03,-5.11896e-08,0.00269413,785.981
0.000381911,0.00911097,39.9732,1597.86,2.62777e-05,299.562,300.525,0.291066,-1.19539e-10,-1081.97,-5.11628e-08,0.00271558,785.984
0.000385042,0.00911188,39.973,1597.84,2.62773e-05,299.559,300.529,0.291071,-1.19477e-10,-1080.9,-5.1136e-08,0.00273703,785.987
0.000388172,0.00911279,39.9727,1597.82,2.6277e-05,299.555,300.533,0.291075,-1.19414e-10,-1079.84,-5.11093e-08,0.00275848,785.99
0.000391303,0.0091137,39.9725,1597.8,2.62766e-05,299.552,300.537,0.291079,-1.19352e-10,-1078.77,-5.10826e-08,0.00277991,785.993
0.000394433,0.00911461,39.9722,1597.78,2.62762e-05,299.549,300.542,0.291083,-1.1929e-10,-1077.71,-5.10559e-08,0.00280133,785.997
0.000397563,0.00911551,39.972,1597.76,2.62758e-05,299.545,300.546,0.291087,-1.19227e-10,-1076.65,-5.10293e-08,0.00282275,786
0.000400694,0.00911642,39.9718,1597.74,2.62755e-05,299.542,300.55,0.291092,-1.19165e-10,-1075.59,-5.10027e-08,0.00284416,786.003
0.000403824,0.00911733,39.9715,1597.72,2.62751e-05,299.538,300.554,0.291096,-1.19103e-10,-1074.53,-5.09761e-08,0.00286556,786.006
0.000406955,0.00911824,39.9713,1597.7,2.62747e-05,299.535,300.558,0.2911,-1.19041e-10,-1073.47,-5.09495e-08,0.00288695,786.009
