# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s]
0,0.009,40,1600,2.63249e-05,300,300.243,0.274731,0,0,0,0,785.576
3.5133e-06,0.00900096,40.0038,1600.3,2.63245e-05,299.996,300.246,0.274734,-1.27608e-10,-1201.2,-5.79342e-08,0.000747491,785.58
7.02661e-06,0.00900193,40.0035,1600.28,2.6324e-05,299.992,300.249,0.274737,-1.27527e-10,-1199.99,-5.78973e-08,0.000769579,785.584
1.05399e-05,0.00900289,40.0032,1600.25,2.63236e-05,299.987,300.252,0.27474,-1.27446e-10,-1198.78,-5.78605e-08,0.000791656,785.588
1.40532e-05,0.00900386,40.0029,1600.23,2.63231e-05,299.983,300.256,0.274743,-1.27365e-10,-1197.57,-5.78237e-08,0.00081372,785.592
1.75665e-05,0.00900482,40.0026,1600.21,2.63227e-05,299.979,300.259,0.274746,-1.27284e-10,-1196.36,-5.77869e-08,0.000835774,785.596
2.10798e-05,0.00900579,40.0023,1600.18,2.63222e-05,299.975,300.262,0.274749,-1.27203e-10,-1195.16,-5.77502e-08,0.000857815,785.6
2.45931e-05,0.00900675,40.002,1600.16,2.63218e-05,299.971,300.265,0.274752,-1.27122e-10,-1193.95,-5.77135e-08,0.000879845,785.603
2.81064e-05,0.00900772,40.0017,1600.14,2.63213e-05,299.966,300.268,0.274755,-1.27042e-10,-1192.75,-5.76769e-08,0.000901864,785.607
3.16197e-05,0.00900868,40.0014,1600.11,2.63209e-05,299.962,300.272,0.274758,-1.26961e-10,-1191.54,-5.76403e-08,0.000923871,785.611
3.5133e-05,0.00900964,40.0011,1600.09,2.63204e-05,299.958,300.275,0.274761,-1.26881e-10,-1190.34,-5.76038e-08,0.000945866,785.615
3.86464e-05,0.00901061,40.0008,1600.07,2.632e-05,299.954,300.278,0.274764,-1.268e-10,-1189.14,-5.75673e-08,0.00096785,785.619
4.21597e-05,0.00901157,40.0005,1600.04,2.63195e-05,299.95,300.281,0.274767,-1.2672e-10,-1187.94,-5.75308e-08,0.000989822,785.623
4.5673e-05,0.00901254,40.0002,1600.02,2.63191e-05,299.945,300.284,0.27477,-1.2664e-10,-1186.74,-5.74944e-08,0.00101178,785.627
4.91863e-05,0.0090135,40,1600,2.63187e-05,299.941,300.287,0.274773,-1.2656e-10,-1185.54,-5.74581e-08,0.00103373,785.631
5.26996e-05,0.00901447,39.9997,1599.97,2.63182e-05,299.937,300.291,0.274776,-1.2648e-10,-1184.35,-5.74218e-08,0.00105567,785.635
5.62129e-05,0.00901543,39.9994,1599.95,2.63178e-05,299.933,300.294,0.274779,-1.264e-10,-1183.15,-5.73855e-08,0.00107759,785.639
5.97262e-05,0.0090164,39.9991,1599.93,2.63173e-05,299.929,300.297,0.274782,-1.2632e-10,-1181.96,-5.73493e-08,0.00109951,785.642
6.32395e-05,0.00901736,39.9988,1599.9,2.63169e-05,299.925,300.3,0.274785,-1.2624e-10,-1180.76,-5.73131e-08,0.00112141,785.646
6.67528e-05,0.00901832,39.9985,1599.88,2.63164e-05,299.92,300.303,0.274788,-1.26161e-10,-1179.57,-5.7277e-08,0.0011433,785.65
7.02661e-05,0.00901929,39.9982,1599.86,2.6316e-05,299.916,300.306,0.274791,-1.26081e-10,-1178.38,-5.72409e-08,0.00116518,785.654
7.37794e-05,0.00902025,39.9979,1599.83,2.63155e-05,299.912,300.31,0.274794,-1.26002e-10,-1177.19,-5.72048e-08,0.00118705,785.658
7.72927e-05,0.00902122,39.9976,1599.81,2.63151e-05,299.908,300.313,0.274797,-1.25923e-10,-1176,-5.71688e-08,0.00120891,785.662
8.0806e-05,0.00902218,39.9973,1599.79,2.63147e-05,299.904,300.316,0.2748,-1.25843e-10,-1174.81,-5.71329e-08,0.00123075,785.666
