# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s]
0,0.009,40,1600,2.63249e-05,300,300.153,0.293821,0,0,0,0,785.576
3.12297e-06,0.00900092,40.0038,1600.3,2.63245e-05,299.996,300.155,0.293823,-1.27731e-10,-1208.36,-5.51798e-08,0.000451805,785.58
6.24594e-06,0.00900183,40.0035,1600.28,2.63241e-05,299.992,300.157,0.293825,-1.27659e-10,-1207.34,-5.51487e-08,0.000468299,785.583
9.36891e-06,0.00900275,40.0033,1600.26,2.63237e-05,299.989,300.159,0.293827,-1.27587e-10,-1206.32,-5.51177e-08,0.000484784,785.587
1.24919e-05,0.00900367,40.003,1600.24,2.63233e-05,299.985,300.162,0.293829,-1.27516e-10,-1205.3,-5.50868e-08,0.000501261,785.59
1.56149e-05,0.00900459,40.0027,1600.22,2.63229e-05,299.981,300.164,0.293831,-1.27444e-10,-1204.28,-5.50559e-08,0.000517729,785.594
1.87378e-05,0.0090055,40.0025,1600.2,2.63225e-05,299.977,300.166,0.293833,-1.27373e-10,-1203.26,-5.5025e-08,0.000534189,785.597
2.18608e-05,0.00900642,40.0022,1600.18,2.63221e-05,299.974,300.168,0.293835,-1.27301e-10,-1202.25,-5.49941e-08,0.000550641,785.601
2.49838e-05,0.00900734,40.002,1600.16,2.63217e-05,299.97,300.17,0.293837,-1.2723e-10,-1201.23,-5.49632e-08,0.000567084,785.604
2.81067e-05,0.00900825,40.0017,1600.14,2.63213e-05,299.966,300.172,0.293839,-1.27158e-10,-1200.21,-5.49324e-08,0.000583519,785.608
3.12297e-05,0.00900917,40.0014,1600.12,2.63209e-05,299.962,300.174,0.293841,-1.27087e-10,-1199.2,-5.49017e-08,0.000599945,785.611
3.43527e-05,0.00901009,40.0012,1600.09,2.63205e-05,299.959,300.176,0.293843,-1.27016e-10,-1198.19,-5.48709e-08,0.000616362,785.615
3.74756e-05,0.00901101,40.0009,1600.07,2.63201e-05,299.955,300.178,0.293845,-1.26945e-10,-1197.17,-5.48402e-08,0.000632771,785.618
4.05986e-05,0.00901192,40.0007,1600.05,2.63197e-05,299.951,300.18,0.293847,-1.26874e-10,-1196.16,-5.48096e-08,0.000649172,785.622
4.37216e-05,0.00901284,40.0004,1600.03,2.63193e-05,299.947,300.182,0.293849,-1.26803e-10,-1195.15,-5.47789e-08,0.000665564,785.625
4.68446e-05,0.00901376,40.0001,1600.01,2.63189e-05,299.944,300.184,0.293851,-1.26732e-10,-1194.14,-5.47483e-08,0.000681948,785.629
4.99675e-05,0.00901467,39.9999,1599.99,2.63185e-05,299.94,300.186,0.293853,-1.26661e-10,-1193.13,-5.47177e-08,0.000698323,785.632
5.30905e-05,0.00901559,39.9996,1599.97,2.63181e-05,299.936,300.188,0.293855,-1.26591e-10,-1192.12,-5.46872e-08,0.00071469,785.635
5.62135e-05,0.00901651,39.9994,1599.95,2.63178e-05,299.933,300.19,0.293858,-1.2652e-10,-1191.11,-5.46567e-08,0.000731049,785.639
5.93364e-05,0.00901743,39.9991,1599.93,2.63174e-05,299.929,300.192,0.29386,-1.26449e-10,-1190.1,-5.46262e-08,0.000747399,785.642
6.24594e-05,0.00901834,39.9988,1599.91,2.6317e-05,299.925,300.194,0.293862,-1.26379e-10,-1189.1,-5.45957e-08,0.00076374,785.646
