# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s]
0,0.009,40,1600,2.63249e-05,300,300.518,0.24702,0,0,0,0,785.576
4.04458e-06,0.009001,40.0037,1600.3,2.63244e-05,299.995,300.524,0.247025,-1.27553e-10,-1182.32,-5.98225e-08,0.00163485,785.58
8.08916e-06,0.00900199,40.0034,1600.27,2.63239e-05,299.99,300.53,0.24703,-1.27461e-10,-1180.76,-5.97793e-08,0.0016691,785.585
1.21337e-05,0.00900299,40.003,1600.24,2.63234e-05,299.986,300.536,0.247036,-1.27369e-10,-1179.21,-5.97361e-08,0.00170334,785.589
1.61783e-05,0.00900399,40.0027,1600.22,2.63228e-05,299.981,300.543,0.247041,-1.27277e-10,-1177.67,-5.96931e-08,0.00173756,785.594
2.02229e-05,0.00900499,40.0024,1600.19,2.63223e-05,299.976,300.549,0.247046,-1.27186e-10,-1176.12,-5.96501e-08,0.00177176,785.598
2.42675e-05,0.00900598,40.002,1600.16,2.63218e-05,299.971,300.555,0.247052,-1.27094e-10,-1174.57,-5.96071e-08,0.00180595,785.603
2.83121e-05,0.00900698,40.0017,1600.14,2.63213e-05,299.967,300.561,0.247057,-1.27003e-10,-1173.03,-5.95643e-08,0.00184012,785.607
3.23566e-05,0.00900798,40.0014,1600.11,2.63208e-05,299.962,300.568,0.247063,-1.26911e-10,-1171.49,-5.95215e-08,0.00187428,785.612
3.64012e-05,0.00900898,40.001,1600.08,2.63203e-05,299.957,300.574,0.247068,-1.2682e-10,-1169.94,-5.94787e-08,0.00190842,785.616
4.04458e-05,0.00900997,40.0007,1600.06,2.63198e-05,299.952,300.58,0.247073,-1.26729e-10,-1168.41,-5.94361e-08,0.00194254,785.62
4.44904e-05,0.00901097,40.0004,1600.03,2.63192e-05,299.948,300.587,0.247079,-1.26639e-10,-1166.87,-5.93935e-08,0.00197664,785.625
4.8535e-05,0.00901197,40,1600,2.63187e-05,299.943,300.593,0.247084,-1.26548e-10,-1165.33,-5.9351e-08,0.00201073,785.629
5.25795e-05,0.00901297,39.9997,1599.98,2.63182e-05,299.938,300.599,0.247089,-1.26457e-10,-1163.8,-5.93085e-08,0.00204481,785.634
5.66241e-05,0.00901396,39.9994,1599.95,2.63177e-05,299.934,300.605,0.247095,-1.26367e-10,-1162.26,-5.92661e-08,0.00207886,785.638
6.06687e-05,0.00901496,39.999,1599.92,2.63172e-05,299.929,300.612,0.2471,-1.26277e-10,-1160.73,-5.92237e-08,0.00211291,785.642
6.47133e-05,0.00901596,39.9987,1599.9,2.63167e-05,299.924,300.618,0.247105,-1.26187e-10,-1159.2,-5.91815e-08,0.00214693,785.647
6.87579e-05,0.00901696,39.9984,1599.87,2.63162e-05,299.919,300.624,0.247111,-1.26097e-10,-1157.67,-5.91393e-08,0.00218094,785.651
7.28024e-05,0.00901795,39.998,1599.84,2.63157e-05,299.915,300.63,0.247116,-1.26007e-10,-1156.14,-5.90971e-08,0.00221493,785.655
7.6847e-05,0.00901895,39.9977,1599.82,2.63152e-05,299.91,300.637,0.247121,-1.25917e-10,-1154.61,-5.90551e-08,0.0022489,785.66
8.08916e-05,0.00901995,39.9974,1599.79,2.63146e-05,299.905,300.643,0.247127,-1.25827e-10,-1153.09,-5.90131e-08,0.00228286,785.664
8.49362e-05,0.00902095,39.997,1599.76,2.63141e-05,299.901,300.649,0.247132,-1.25738e-10,-1151.57,-5.89711e-08,0.00231681,785.669
8.89808e-05,0.00902194,39.9967,1599.74,2.63136e-05,299.896,300.656,0.247137,-1.25649e-10,-1150.04,-5.89292e-08,0.00235073,785.673
9.30253e-05,0.00902294,39.9964,1599.71,2.63131e-05,299.891,300.662,0.247143,-1.2556e-10,-1148.52,-5.88874e-08,0.00238464,785.677
9.70699e-05,0.00902394,39.996,1599.68,2.63126e-05,299.887,300.668,0.247148,-1.25471e-10,-1147,-5.88457e-08,0.00241854,785.682
0.000101114,0.00902493,39.9957,1599.66,2.63121e-05,299.882,300.674,0.247153,-1.25382e-10,-1145.49,-5.8804e-08,0.00245242,785.686
