# grid [m], ug [m/s], rhog, Tg [K], Yf, YO2, YOH, YCO, YCO2, phi_g, Sm, Sh, Syf
0,0.285819,1.22036,300,-4.08114e-17,1.57074e-14,-9.0861e-17,2.78465e-17,-1.27931e-17,-5.02652e-16,0,0,-0
6.66667e-05,0.285819,1.22036,300,-4.08967e-17,3.02765e-14,-9.10123e-17,2.78465e-17,-1.27931e-17,-5.03702e-16,0,0,-0
0.000133333,0.285819,1.22036,300,-4.09746e-17,3.59432e-14,-9.12947e-17,2.78465e-17,-1.27931e-17,-5.04662e-16,0,0,-0
0.0002,0.285819,1.22036,300,-4.10209e-17,3.77232e-14,-9.18345e-17,2.78465e-17,-1.27931e-17,-5.05231e-16,0,0,-0
0.000266667,0.285819,1.22036,300,-4.10703e-17,3.89465e-14,-9.28718e-17,2.78465e-17,-1.27931e-17,-5.0584e-16,0,0,-0
0.000333333,0.285819,1.22036,300,-4.11264e-17,4.0479e-14,-9.48671e-17,2.78465e-17,-1.27931e-17,-5.06531e-16,0,0,-0
0.0004,0.285819,1.22036,300,-4.11955e-17,4.31144e-14,-9.87052e-17,2.78465e-17,-1.27931e-17,-5.07382e-16,0,0,-0
0.000466667,0.285819,1.22036,300,-4.12896e-17,4.80525e-14,-1.05329e-16,2.78465e-17,-1.27931e-17,-5.08541e-16,0,0,-0
0.000533333,0.285819,1.22036,300,-4.14319e-17,5.74619e-14,-1.16257e-16,2.78465e-17,-1.27931e-17,-5.10294e-16,0,0,-0
0.0006,0.285819,1.22036,300,-4.1667e-17,7.53363e-14,-1.3344e-16,2.78465e-17,-1.27931e-17,-5.13189e-16,0,0,-0
0.000666667,0.285819,1.22036,300,-4.20792e-17,1.08582e-13,-1.58758e-16,2.78465e-17,-1.27931e-17,-5.18266e-16,0,0,-0
0.000733333,0.285819,1.22036,300,-4.2659e-17,1.58745e-13,-1.92232e-16,2.78465e-17,-1.27931e-17,-5.25408e-16,0,0,-0
0.0008,0.285819,1.22036,300,-4.28508e-17,1.73899e-13,-2.31318e-16,2.78466e-17,-1.27931e-17,-5.2777e-16,0,0,-0
0.000866667,0.285819,1.22036,300,-4.31814e-17,1.91219e-13,-2.78015e-16,2.78466e-17,-1.2793e-17,-5.31841e-16,0,0,-0
0.000933333,0.285819,1.22036,300,-4.37745e-17,2.19681e-13,-3.32027e-16,2.78466e-17,-1.2793e-17,-5.39147e-16,0,0,-0
0.001,0.285819,1.22036,300,-4.38204e-17,2.20646e-13,-3.86011e-16,2.78466e-17,-1.2793e-17,-5.39712e-16,0,0,-0
0.00106667,0.285819,1.22036,300,-4.38616e-17,2.20917e-13,-4.39966e-16,2.78466e-17,-1.2793e-17,-5.40219e-16,0,0,-0
0.00113333,0.285819,1.22036,300,-4.39026e-17,2.21018e-13,-4.93891e-16,2.78466e-17,-1.2793e-17,-5.40724e-16,0,0,-0
0.0012,0.285819,1.22036,300,-4.39436e-17,2.21056e-13,-5.47787e-16,2.78466e-17,-1.2793e-17,-5.41228e-16,0,0,-0
0.00126667,0.285819,1.22036,300,-4.39844e-17,2.21071e-13,-6.01654e-16,2.78466e-17,-1.2793e-17,-5.41732e-16,0,0,-0
0.00133333,0.285819,1.22036,300,-4.40252e-17,2.21076e-13,-6.55492e-16,2.78466e-17,-1.2793e-17,-5.42234e-16,0,0,-0
0.0014,0.285819,1.22036,300,-4.40659e-17,2.21078e-13,-7.09301e-16,2.78466e-17,-1.2793e-17,-5.42736e-16,0,0,-0
0.00146667,0.285819,1.22036,300,-4.41066e-17,2.21079e-13,-7.6308e-16,2.78466e-17,-1.2793e-17,-5.43236e-16,0,0,-0
0.00153333,0.285819,1.22036,300,-4.41471e-17,2.21079e-13,-8.16831e-16,2.78466e-17,-1.2793e-17,-5.43735e-16,0,0,-0
0.0016,0.285819,1.22036,300,-4.41876e-17,2.21079e-13,-8.70552e-16,2.78466e-17,-1.2793e-17,-5.44234e-16,0,0,-0
0.00166667,0.285819,1.22036,300,-4.4228e-17,2.21079e-13,-9.24244e-16,2.78466e-17,-1.27929e-17,-5.44731e-16,0,0,-0
0.00173333,0.285819,1.22036,300,-4.42683e-17,2.21079e-13,-9.77908e-16,2.78466e-17,-1.27929e-17,-5.45228e-16,0,0,-0
0.0018,0.285819,1.22036,300,-4.43085e-17,2.21079e-13,-1.03154e-15,2.78466e-17,-1.27929e-17,-5.45724e-16,0,0,-0
0.00186667,0.285819,1.22036,300,-4.43487e-17,2.21079e-13,-1.08515e-15,2.78466e-17,-1.27929e-17,-5.46218e-16,0,0,-0
0.00193333,0.285819,1.22036,300,-4.43888e-17,2.21079e-13,-1.13872e-15,2.78466e-17,-1.27929e-17,-5.46712e-16,0,0,-0
0.002,0.285819,1.22036,300,-4.44288e-17,2.21079e-13,-1.19227e-15,2.78466e-17,-1.27929e-17,-5.47205e-16,0,0,-0
0.00206667,0.285819,1.22036,300,-4.44687e-17,2.21079e-13,-1.24579e-15,2.78467e-17,-1.27929e-17,-5.47696e-16,0,0,-0
0.00213333,0.285819,1.22036,300,-4.45086e-17,2.21079e-13,-1.29928e-15,2.78467e-17,-1.27929e-17,-5.48187e-16,0,0,-0
0.0022,0.285819,1.22036,300,-4.45483e-17,2.21079e-13,-1.35274e-15,2.78467e-17,-1.27929e-17,-5.48677e-16,0,0,-0
0.00226667,0.285819,1.22036,300,-4.4588e-17,2.2108e-13,-1.40617e-15,2.78467e-17,-1.27929e-17,-5.49166e-16,0,0,-0
0.00233333,0.285819,1.22036,300,-4.46277e-17,2.2108e-13,-1.45957e-15,2.78467e-17,-1.27929e-17,-5.49654e-16,0,0,-0
0.0024,0.285819,1.22036,300,-4.46672e-17,2.2108e-13,-1.51294e-15,2.78467e-17,-1.27929e-17,-5.50141e-16,0,0,-0
