# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s], Mliquid
0,0.009,20,400,2.84829e-06,300,300.048,0.332943,0,0,0,0,679.979,4.46621e+09
2.50414e-06,0.00900083,20.0009,400.034,2.84782e-06,299.974,300.049,0.332944,-1.85725e-10,-10545.9,-2.07715e-06,0.00292175,680.002,4.46621e+09
5.00827e-06,0.00900167,19.9995,399.982,2.84736e-06,299.947,300.049,0.332945,-1.85392e-10,-10515.7,-2.07343e-06,0.003976,680.024,4.46621e+09
7.51241e-06,0.0090025,19.9982,399.93,2.8469e-06,299.921,300.05,0.332946,-1.85061e-10,-10485.5,-2.06972e-06,0.0050271,680.047,4.46621e+09
1.00165e-05,0.00900333,19.9969,399.877,2.84643e-06,299.895,300.05,0.332946,-1.84731e-10,-10455.5,-2.06603e-06,0.00607505,680.069,4.46621e+09
1.25207e-05,0.00900417,19.9956,399.825,2.84597e-06,299.868,300.051,0.332947,-1.84402e-10,-10425.6,-2.06235e-06,0.00711986,680.091,4.46621e+09
1.50248e-05,0.009005,19.9943,399.773,2.84551e-06,299.842,300.052,0.332948,-1.84075e-10,-10395.7,-2.05869e-06,0.00816155,680.113,4.46621e+09
1.75289e-05,0.00900584,19.993,399.722,2.84505e-06,299.816,300.052,0.332949,-1.83748e-10,-10366,-2.05504e-06,0.00920012,680.135,4.46621e+09
2.00331e-05,0.00900667,19.9917,399.67,2.84459e-06,299.79,300.053,0.33295,-1.83424e-10,-10336.3,-2.05141e-06,0.0102356,680.157,4.46621e+09
2.25372e-05,0.0090075,19.9905,399.618,2.84413e-06,299.764,300.054,0.332951,-1.831e-10,-10306.8,-2.04779e-06,0.011268,680.179,4.46621e+09
2.50414e-05,0.00900834,19.9892,399.567,2.84367e-06,299.739,300.054,0.332951,-1.82778e-10,-10277.3,-2.04419e-06,0.0122972,680.201,4.46621e+09
2.75455e-05,0.00900917,19.9879,399.515,2.84321e-06,299.713,300.055,0.332952,-1.82457e-10,-10247.9,-2.0406e-06,0.0133235,680.223,4.46621e+09
