# grid [m], ug [m/s], rhog, Tg [K], Yf, YO2, YOH, YCO, YCO2, phi_g, Sm, Sh, Syf
0,0.281129,1.22036,300,1.15907e-15,-1.34014e-16,7.35035e-17,6.0468e-16,-4.29479e-15,1.42757e-14,0,0,0
6.66667e-05,0.281129,1.22036,300,1.16005e-15,-2.38019e-16,7.35034e-17,6.04681e-16,-4.29575e-15,1.42877e-14,0,0,0
0.000133333,0.281129,1.22036,300,1.16103e-15,-2.21317e-16,7.35034e-17,6.04682e-16,-4.29689e-15,1.42997e-14,0,0,0
0.0002,0.281129,1.22036,300,1.162e-15,-2.11283e-16,7.35033e-17,6.04682e-16,-4.29816e-15,1.43117e-14,0,0,0
0.000266667,0.281129,1.22036,300,1.16298e-15,-2.0291e-16,7.35033e-17,6.04683e-16,-4.29954e-15,1.43237e-14,0,0,0
0.000333333,0.281129,1.22036,300,1.16395e-15,-1.91039e-16,7.35032e-17,6.04683e-16,-4.30098e-15,1.43357e-14,0,0,0
0.0004,0.281129,1.22036,300,1.16492e-15,-1.6994e-16,7.35031e-17,6.04684e-16,-4.30248e-15,1.43476e-14,0,0,0
0.000466667,0.281129,1.22036,300,1.16588e-15,-1.3035e-16,7.35031e-17,6.04685e-16,-4.30401e-15,1.43595e-14,0,0,0
0.000533333,0.281129,1.22036,300,1.16685e-15,-5.55436e-17,7.3503e-17,6.04685e-16,-4.30557e-15,1.43714e-14,0,0,0
0.0006,0.281129,1.22036,300,1.16781e-15,8.44124e-17,7.35029e-17,6.04686e-16,-4.30716e-15,1.43833e-14,0,0,0
0.000666667,0.281129,1.22036,300,1.16877e-15,3.37504e-16,7.35027e-17,6.04686e-16,-4.30875e-15,1.43951e-14,0,0,0
0.000733333,0.281129,1.22036,300,1.16973e-15,7.33398e-16,7.35026e-17,6.04687e-16,-4.31036e-15,1.44069e-14,0,0,0
0.0008,0.281129,1.22036,300,1.17069e-15,8.36146e-16,7.35025e-17,6.04688e-16,-4.31197e-15,1.44187e-14,0,0,0
0.000866667,0.281129,1.22036,300,1.17164e-15,8.97777e-16,7.35024e-17,6.04688e-16,-4.31359e-15,1.44305e-14,0,0,0
0.000933333,0.281129,1.22036,300,1.1726e-15,9.65069e-16,7.35023e-17,6.04689e-16,-4.31521e-15,1.44422e-14,0,0,0
0.001,0.281129,1.22036,300,1.17355e-15,9.72673e-16,7.35022e-17,6.04689e-16,-4.31683e-15,1.4454e-14,0,0,0
0.00106667,0.281129,1.22036,300,1.1745e-15,9.75375e-16,7.35022e-17,6.0469e-16,-4.31846e-15,1.44657e-14,0,0,0
0.00113333,0.281129,1.22036,300,1.17545e-15,9.76391e-16,7.35021e-17,6.0469e-16,-4.32009e-15,1.44774e-14,0,0,0
0.0012,0.281129,1.22036,300,1.1764e-15,9.76774e-16,7.3502e-17,6.04691e-16,-4.32172e-15,1.44891e-14,0,0,0
0.00126667,0.281129,1.22036,300,1.17735e-15,9.76919e-16,7.3502e-17,6.04692e-16,-4.32335e-15,1.45007e-14,0,0,0
0.00133333,0.281129,1.22036,300,1.17829e-15,9.76974e-16,7.35019e-17,6.04692e-16,-4.32498e-15,1.45124e-14,0,0,0
0.0014,0.281129,1.22036,300,1.17924e-15,9.76996e-16,7.35019e-17,6.04693e-16,-4.32661e-15,1.4524e-14,0,0,0
0.00146667,0.281129,1.22036,300,1.18018e-15,9.77005e-16,7.35018e-17,6.04693e-16,-4.32824e-15,1.45356e-14,0,0,0
0.00153333,0.281129,1.22036,300,1.18112e-15,9.7701e-16,7.35017e-17,6.04694e-16,-4.32987e-15,1.45472e-14,0,0,0
0.0016,0.281129,1.22036,300,1.18205e-15,9.77013e-16,7.35017e-17,6.04695e-16,-4.3315e-15,1.45587e-14,0,0,0
0.00166667,0.281129,1.22036,300,1.18299e-15,9.77016e-16,7.35016e-17,6.04695e-16,-4.33313e-15,1.45702e-14,0,0,0
0.00173333,0.281129,1.22036,300,1.18392e-15,9.7702e-16,7.35016e-17,6.04696e-16,-4.33476e-15,1.45817e-14,0,0,0
0.0018,0.281129,1.22036,300,1.18486e-15,9.77025e-16,7.35015e-17,6.04696e-16,-4.33639e-15,1.45932e-14,0,0,0
0.00186667,0.281129,1.22036,300,1.18579e-15,9.77033e-16,7.35014e-17,6.04697e-16,-4.33802e-15,1.46047e-14,0,0,0
