# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s], Mliquid
0,0.009,20,400,2.84829e-06,300,300.071,0.321809,0,0,0,0,679.979,4.31654e+09
2.67158e-06,0.00900086,20.0008,400.031,2.84779e-06,299.972,300.072,0.32181,-1.85706e-10,-10532.1,-2.14156e-06,0.00402076,680.003,4.31654e+09
5.34316e-06,0.00900172,19.9994,399.975,2.8473e-06,299.944,300.073,0.321812,-1.85352e-10,-10499.8,-2.13747e-06,0.00518982,680.027,4.31654e+09
8.01475e-06,0.00900258,19.998,399.919,2.8468e-06,299.916,300.074,0.321813,-1.84999e-10,-10467.5,-2.1334e-06,0.00635515,680.051,4.31654e+09
1.06863e-05,0.00900344,19.9966,399.863,2.84631e-06,299.888,300.075,0.321814,-1.84647e-10,-10435.4,-2.12935e-06,0.00751677,680.075,4.31654e+09
1.33579e-05,0.0090043,19.9952,399.808,2.84581e-06,299.86,300.076,0.321815,-1.84297e-10,-10403.4,-2.12532e-06,0.0086747,680.098,4.31654e+09
1.60295e-05,0.00900516,19.9938,399.753,2.84532e-06,299.832,300.077,0.321816,-1.83949e-10,-10371.5,-2.1213e-06,0.00982894,680.122,4.31654e+09
1.87011e-05,0.00900602,19.9924,399.697,2.84483e-06,299.804,300.078,0.321817,-1.83602e-10,-10339.7,-2.1173e-06,0.0109795,680.145,4.31654e+09
2.13727e-05,0.00900688,19.9911,399.642,2.84434e-06,299.777,300.079,0.321818,-1.83256e-10,-10308,-2.11331e-06,0.0121265,680.169,4.31654e+09
2.40442e-05,0.00900774,19.9897,399.587,2.84385e-06,299.749,300.08,0.321819,-1.82913e-10,-10276.4,-2.10935e-06,0.0132697,680.192,4.31654e+09
2.67158e-05,0.0090086,19.9883,399.532,2.84336e-06,299.722,300.08,0.32182,-1.8257e-10,-10244.9,-2.1054e-06,0.0144094,680.216,4.31654e+09
2.93874e-05,0.00900946,19.9869,399.478,2.84287e-06,299.694,300.081,0.321822,-1.82229e-10,-10213.6,-2.10147e-06,0.0155455,680.239,4.31654e+09
3.2059e-05,0.00901032,19.9856,399.423,2.84239e-06,299.667,300.082,0.321823,-1.8189e-10,-10182.3,-2.09755e-06,0.0166779,680.262,4.31654e+09
3.47306e-05,0.00901117,19.9842,399.368,2.8419e-06,299.64,300.083,0.321824,-1.81552e-10,-10151.1,-2.09365e-06,0.0178068,680.285,4.31654e+09
3.74022e-05,0.00901203,19.9828,399.314,2.84142e-06,299.613,300.084,0.321825,-1.81215e-10,-10120.1,-2.08977e-06,0.0189321,680.308,4.31654e+09
4.00737e-05,0.00901289,19.9815,399.26,2.84093e-06,299.586,300.085,0.321826,-1.8088e-10,-10089.1,-2.08591e-06,0.0200538,680.331,4.31654e+09
4.27453e-05,0.00901375,19.9801,399.205,2.84045e-06,299.559,300.086,0.321827,-1.80546e-10,-10058.2,-2.08206e-06,0.021172,680.354,4.31654e+09
4.54169e-05,0.00901461,19.9788,399.151,2.83997e-06,299.532,300.087,0.321828,-1.80214e-10,-10027.5,-2.07823e-06,0.0222867,680.377,4.31654e+09
4.80885e-05,0.00901547,19.9774,399.097,2.83949e-06,299.505,300.088,0.321829,-1.79883e-10,-9996.84,-2.07441e-06,0.0233978,680.399,4.31654e+09
5.07601e-05,0.00901633,19.9761,399.043,2.839e-06,299.478,300.089,0.32183,-1.79554e-10,-9966.29,-2.07061e-06,0.0245055,680.422,4.31654e+09
