# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s], Mliquid
0,0.009,20,400,2.84829e-06,300,300.162,0.280797,0,0,0,0,679.979,3.76607e+09
2.90489e-06,0.00900082,20.0006,400.026,2.84775e-06,299.969,300.164,0.280799,-1.85714e-10,-10484.2,-2.03171e-06,0.00742836,680.005,3.76607e+09
5.80978e-06,0.00900163,19.9991,399.965,2.84721e-06,299.939,300.166,0.280801,-1.85331e-10,-10448.8,-2.02752e-06,0.00865962,680.031,3.76607e+09
8.71467e-06,0.00900245,19.9976,399.905,2.84667e-06,299.909,300.168,0.280803,-1.84949e-10,-10413.5,-2.02334e-06,0.0098867,680.057,3.76607e+09
1.16196e-05,0.00900326,19.9961,399.844,2.84613e-06,299.878,300.17,0.280805,-1.84569e-10,-10378.3,-2.01919e-06,0.0111096,680.083,3.76607e+09
1.45244e-05,0.00900408,19.9946,399.784,2.8456e-06,299.848,300.172,0.280807,-1.84191e-10,-10343.3,-2.01505e-06,0.0123283,680.108,3.76607e+09
1.74293e-05,0.00900489,19.9931,399.724,2.84506e-06,299.818,300.173,0.280809,-1.83815e-10,-10308.4,-2.01093e-06,0.0135429,680.134,3.76607e+09
2.03342e-05,0.00900571,19.9916,399.664,2.84453e-06,299.788,300.175,0.280811,-1.8344e-10,-10273.6,-2.00684e-06,0.0147534,680.159,3.76607e+09
2.32391e-05,0.00900652,19.9901,399.604,2.844e-06,299.758,300.177,0.280813,-1.83068e-10,-10239,-2.00276e-06,0.0159598,680.184,3.76607e+09
2.6144e-05,0.00900734,19.9886,399.544,2.84347e-06,299.729,300.179,0.280815,-1.82697e-10,-10204.4,-1.9987e-06,0.0171621,680.21,3.76607e+09
2.90489e-05,0.00900815,19.9871,399.485,2.84293e-06,299.699,300.181,0.280817,-1.82328e-10,-10170,-1.99466e-06,0.0183603,680.235,3.76607e+09
3.19538e-05,0.00900897,19.9856,399.425,2.8424e-06,299.669,300.183,0.280819,-1.8196e-10,-10135.8,-1.99065e-06,0.0195544,680.26,3.76607e+09
3.48587e-05,0.00900979,19.9841,399.366,2.84188e-06,299.64,300.185,0.280821,-1.81595e-10,-10101.6,-1.98664e-06,0.0207445,680.285,3.76607e+09
3.77636e-05,0.0090106,19.9827,399.307,2.84135e-06,299.611,300.186,0.280823,-1.81231e-10,-10067.6,-1.98266e-06,0.0219306,680.31,3.76607e+09
4.06684e-05,0.00901142,19.9812,399.248,2.84082e-06,299.581,300.188,0.280825,-1.80868e-10,-10033.7,-1.9787e-06,0.0231127,680.335,3.76607e+09
4.35733e-05,0.00901223,19.9797,399.189,2.8403e-06,299.552,300.19,0.280827,-1.80508e-10,-9999.91,-1.97475e-06,0.0242908,680.359,3.76607e+09
4.64782e-05,0.00901305,19.9782,399.13,2.83977e-06,299.523,300.192,0.280828,-1.80149e-10,-9966.25,-1.97083e-06,0.0254649,680.384,3.76607e+09
4.93831e-05,0.00901386,19.9768,399.072,2.83925e-06,299.494,300.194,0.28083,-1.79792e-10,-9932.71,-1.96692e-06,0.026635,680.409,3.76607e+09
5.2288e-05,0.00901468,19.9753,399.013,2.83873e-06,299.465,300.196,0.280832,-1.79436e-10,-9899.3,-1.96303e-06,0.0278012,680.433,3.76607e+09
5.51929e-05,0.00901549,19.9738,398.955,2.83821e-06,299.437,300.197,0.280834,-1.79082e-10,-9866,-1.95916e-06,0.0289635,680.457,3.76607e+09
5.80978e-05,0.00901631,19.9724,398.896,2.83769e-06,299.408,300.199,0.280836,-1.7873e-10,-9832.83,-1.95531e-06,0.0301219,680.482,3.76607e+09
6.10027e-05,0.00901712,19.9709,398.838,2.83717e-06,299.379,300.201,0.280838,-1.78379e-10,-9799.77,-1.95147e-06,0.0312763,680.506,3.76607e+09
6.39076e-05,0.00901794,19.9695,398.78,2.83665e-06,299.351,300.203,0.28084,-1.7803e-10,-9766.83,-1.94765e-06,0.0324269,680.53,3.76607e+09
6.68124e-05,0.00901876,19.968,398.722,2.83613e-06,299.323,300.205,0.280842,-1.77683e-10,-9734.02,-1.94385e-06,0.0335736,680.554,3.76607e+09
6.97173e-05,0.00901957,19.9666,398.665,2.83561e-06,299.294,300.207,0.280844,-1.77337e-10,-9701.32,-1.94007e-06,0.0347165,680.578,3.76607e+09
7.26222e-05,0.00902039,19.9651,398.607,2.8351e-06,299.266,300.209,0.280846,-1.76993e-10,-9668.73,-1.93631e-06,0.0358555,680.602,3.76607e+09
7.55271e-05,0.0090212,19.9637,398.55,2.83459e-06,299.238,300.21,0.280848,-1.76651e-10,-9636.27,-1.93256e-06,0.0369907,680.626,3.76607e+09
7.8432e-05,0.00902202,19.9623,398.492,2.83407e-06,299.21,300.212,0.28085,-1.7631e-10,-9603.91,-1.92883e-06,0.0381222,680.65,3.76607e+09
8.13369e-05,0.00902283,19.9608,398.435,2.83356e-06,299.182,300.214,0.280852,-1.7597e-10,-9571.68,-1.92512e-06,0.0392498,680.673,3.76607e+09
8.42418e-05,0.00902365,19.9594,398.378,2.83305e-06,299.154,300.216,0.280854,-1.75632e-10,-9539.56,-1.92142e-06,0.0403736,680.697,3.76607e+09
8.71467e-05,0.00902446,19.958,398.321,2.83254e-06,299.127,300.218,0.280856,-1.75296e-10,-9507.56,-1.91774e-06,0.0414937,680.72,3.76607e+09
9.00515e-05,0.00902528,19.9566,398.264,2.83203e-06,299.099,300.22,0.280858,-1.74962e-10,-9475.67,-1.91408e-06,0.04261,680.744,3.76607e+09
9.29564e-05,0.0090261,19.9551,398.207,2.83152e-06,299.072,300.221,0.28086,-1.74628e-10,-9443.89,-1.91043e-06,0.0437226,680.767,3.76607e+09
9.58613e-05,0.00902691,19.9537,398.151,2.83101e-06,299.044,300.223,0.280862,-1.74297e-10,-9412.23,-1.90681e-06,0.0448315,680.79,3.76607e+09
9.87662e-05,0.00902773,19.9523,398.094,2.83051e-06,299.017,300.225,0.280864,-1.73967e-10,-9380.68,-1.90319e-06,0.0459367,680.813,3.76607e+09
0.000101671,0.00902854,19.9509,398.038,2.83e-06,298.99,300.227,0.280866,-1.73638e-10,-9349.24,-1.8996e-06,0.0470382,680.837,3.76607e+09
0.000104576,0.00902936,19.9495,397.981,2.8295e-06,298.962,300.229,0.280868,-1.73311e-10,-9317.91,-1.89602e-06,0.0481361,680.86,3.76607e+09
0.000107481,0.00903017,19.9481,397.925,2.82899e-06,298.935,300.231,0.28087,-1.72985e-10,-9286.7,-1.89246e-06,0.0492302,680.883,3.76607e+09
0.000110386,0.00903099,19.9467,397.869,2.82849e-06,298.908,300.233,0.280872,-1.72661e-10,-9255.6,-1.88891e-06,0.0503208,680.905,3.76607e+09
0.000113291,0.0090318,19.9453,397.813,2.82799e-06,298.881,300.234,0.280874,-1.72339e-10,-9224.6,-1.88538e-06,0.0514077,680.928,3.76607e+09
0.000116196,0.00903262,19.9439,397.758,2.82749e-06,298.855,300.236,0.280876,-1.72017e-10,-9193.72,-1.88187e-06,0.052491,680.951,3.76607e+09
0.0001191,0.00903343,19.9425,397.702,2.82699e-06,298.828,300.238,0.280878,-1.71698e-10,-9162.95,-1.87837e-06,0.0535707,680.974,3.76607e+09
0.000122005,0.00903425,19.9411,397.646,2.82649e-06,298.801,300.24,0.28088,-1.7138e-10,-9132.28,-1.87489e-06,0.0546468,680.996,3.76607e+09
0.00012491,0.00903507,19.9397,397.591,2.82599e-06,298.775,300.242,0.280882,-1.71063e-10,-9101.73,-1.87143e-06,0.0557193,681.019,3.76607e+09
0.000127815,0.00903588,19.9383,397.536,2.8255e-06,298.748,300.244,0.280884,-1.70747e-10,-9071.28,-1.86798e-06,0.0567883,681.041,3.76607e+09
0.00013072,0.0090367,19.9369,397.48,2.825e-06,298.722,300.246,0.280886,-1.70434e-10,-9040.94,-1.86454e-06,0.0578537,681.063,3.76607e+09
0.000133625,0.00903751,19.9355,397.425,2.82451e-06,298.696,300.247,0.280887,-1.70121e-10,-9010.7,-1.86112e-06,0.0589156,681.086,3.76607e+09
0.00013653,0.00903833,19.9341,397.37,2.82401e-06,298.67,300.249,0.280889,-1.6981e-10,-8980.58,-1.85772e-06,0.059974,681.108,3.76607e+09
