# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s], Mliquid
0,0.009,20,400,2.84829e-06,300,300.165,0.282828,0,0,0,0,679.979,3.79299e+09
2.89244e-06,0.00900082,20.0007,400.026,2.84775e-06,299.97,300.167,0.28283,-1.85714e-10,-10482.8,-2.03747e-06,0.00754908,680.005,3.79299e+09
5.78489e-06,0.00900164,19.9991,399.966,2.84722e-06,299.939,300.169,0.282832,-1.85332e-10,-10447.5,-2.03328e-06,0.00878032,680.031,3.79299e+09
8.67733e-06,0.00900245,19.9976,399.905,2.84668e-06,299.909,300.171,0.282834,-1.84952e-10,-10412.4,-2.02911e-06,0.0100074,680.057,3.79299e+09
1.15698e-05,0.00900327,19.9961,399.845,2.84614e-06,299.879,300.173,0.282836,-1.84574e-10,-10377.3,-2.02496e-06,0.0112303,680.082,3.79299e+09
1.44622e-05,0.00900409,19.9946,399.785,2.84561e-06,299.849,300.174,0.282838,-1.84198e-10,-10342.4,-2.02083e-06,0.0124491,680.108,3.79299e+09
1.73547e-05,0.00900491,19.9931,399.725,2.84508e-06,299.819,300.176,0.28284,-1.83823e-10,-10307.7,-2.01672e-06,0.0136637,680.133,3.79299e+09
2.02471e-05,0.00900572,19.9916,399.666,2.84455e-06,299.789,300.178,0.282842,-1.8345e-10,-10273,-2.01263e-06,0.0148743,680.158,3.79299e+09
2.31396e-05,0.00900654,19.9902,399.606,2.84402e-06,299.759,300.18,0.282844,-1.83079e-10,-10238.5,-2.00856e-06,0.0160807,680.183,3.79299e+09
2.6032e-05,0.00900736,19.9887,399.547,2.84349e-06,299.73,300.182,0.282846,-1.8271e-10,-10204.1,-2.00451e-06,0.0172831,680.209,3.79299e+09
2.89244e-05,0.00900818,19.9872,399.487,2.84296e-06,299.7,300.184,0.282848,-1.82342e-10,-10169.8,-2.00047e-06,0.0184815,680.234,3.79299e+09
3.18169e-05,0.009009,19.9857,399.428,2.84243e-06,299.671,300.186,0.28285,-1.81976e-10,-10135.7,-1.99646e-06,0.0196758,680.259,3.79299e+09
3.47093e-05,0.00900981,19.9842,399.369,2.8419e-06,299.642,300.188,0.282852,-1.81612e-10,-10101.6,-1.99247e-06,0.020866,680.284,3.79299e+09
3.76018e-05,0.00901063,19.9827,399.31,2.84138e-06,299.612,300.19,0.282854,-1.8125e-10,-10067.7,-1.98849e-06,0.0220523,680.308,3.79299e+09
4.04942e-05,0.00901145,19.9813,399.251,2.84085e-06,299.583,300.191,0.282856,-1.80889e-10,-10033.9,-1.98453e-06,0.0232346,680.333,3.79299e+09
4.33867e-05,0.00901227,19.9798,399.193,2.84033e-06,299.554,300.193,0.282858,-1.8053e-10,-10000.3,-1.98059e-06,0.0244129,680.358,3.79299e+09
4.62791e-05,0.00901309,19.9783,399.134,2.83981e-06,299.525,300.195,0.28286,-1.80172e-10,-9966.72,-1.97667e-06,0.0255873,680.382,3.79299e+09
4.91715e-05,0.0090139,19.9769,399.076,2.83929e-06,299.496,300.197,0.282862,-1.79817e-10,-9933.3,-1.97277e-06,0.0267577,680.407,3.79299e+09
5.2064e-05,0.00901472,19.9754,399.018,2.83877e-06,299.468,300.199,0.282864,-1.79462e-10,-9900,-1.96888e-06,0.0279241,680.431,3.79299e+09
5.49564e-05,0.00901554,19.974,398.959,2.83825e-06,299.439,300.201,0.282866,-1.7911e-10,-9866.82,-1.96502e-06,0.0290867,680.455,3.79299e+09
5.78489e-05,0.00901636,19.9725,398.901,2.83773e-06,299.411,300.203,0.282868,-1.78759e-10,-9833.75,-1.96117e-06,0.0302454,680.48,3.79299e+09
6.07413e-05,0.00901717,19.9711,398.844,2.83721e-06,299.382,300.205,0.28287,-1.7841e-10,-9800.81,-1.95734e-06,0.0314002,680.504,3.79299e+09
6.36338e-05,0.00901799,19.9696,398.786,2.8367e-06,299.354,300.207,0.282872,-1.78062e-10,-9767.98,-1.95352e-06,0.0325511,680.528,3.79299e+09
6.65262e-05,0.00901881,19.9682,398.728,2.83618e-06,299.326,300.208,0.282874,-1.77717e-10,-9735.27,-1.94973e-06,0.0336982,680.552,3.79299e+09
6.94187e-05,0.00901963,19.9667,398.671,2.83567e-06,299.297,300.21,0.282876,-1.77372e-10,-9702.68,-1.94595e-06,0.0348415,680.576,3.79299e+09
7.23111e-05,0.00902045,19.9653,398.613,2.83515e-06,299.269,300.212,0.282878,-1.77029e-10,-9670.2,-1.94219e-06,0.0359809,680.599,3.79299e+09
7.52035e-05,0.00902126,19.9639,398.556,2.83464e-06,299.241,300.214,0.28288,-1.76688e-10,-9637.84,-1.93845e-06,0.0371166,680.623,3.79299e+09
7.8096e-05,0.00902208,19.9624,398.499,2.83413e-06,299.213,300.216,0.282882,-1.76349e-10,-9605.6,-1.93472e-06,0.0382484,680.647,3.79299e+09
8.09884e-05,0.0090229,19.961,398.442,2.83362e-06,299.186,300.218,0.282884,-1.76011e-10,-9573.47,-1.93101e-06,0.0393765,680.67,3.79299e+09
8.38809e-05,0.00902372,19.9596,398.385,2.83311e-06,299.158,300.22,0.282886,-1.75674e-10,-9541.45,-1.92732e-06,0.0405008,680.694,3.79299e+09
8.67733e-05,0.00902453,19.9582,398.328,2.8326e-06,299.13,300.222,0.282888,-1.75339e-10,-9509.55,-1.92365e-06,0.0416214,680.717,3.79299e+09
8.96658e-05,0.00902535,19.9567,398.272,2.8321e-06,299.103,300.224,0.28289,-1.75006e-10,-9477.76,-1.91999e-06,0.0427382,680.74,3.79299e+09
9.25582e-05,0.00902617,19.9553,398.215,2.83159e-06,299.075,300.225,0.282892,-1.74674e-10,-9446.09,-1.91635e-06,0.0438514,680.764,3.79299e+09
9.54506e-05,0.00902699,19.9539,398.159,2.83109e-06,299.048,300.227,0.282894,-1.74343e-10,-9414.52,-1.91272e-06,0.0449608,680.787,3.79299e+09
9.83431e-05,0.00902781,19.9525,398.102,2.83058e-06,299.021,300.229,0.282896,-1.74015e-10,-9383.07,-1.90911e-06,0.0460666,680.81,3.79299e+09
0.000101236,0.00902862,19.9511,398.046,2.83008e-06,298.994,300.231,0.282898,-1.73687e-10,-9351.73,-1.90552e-06,0.0471687,680.833,3.79299e+09
0.000104128,0.00902944,19.9497,397.99,2.82958e-06,298.967,300.233,0.2829,-1.73361e-10,-9320.51,-1.90195e-06,0.0482671,680.856,3.79299e+09
0.00010702,0.00903026,19.9483,397.934,2.82907e-06,298.94,300.235,0.282902,-1.73037e-10,-9289.39,-1.89839e-06,0.0493619,680.879,3.79299e+09
0.000109913,0.00903108,19.9469,397.878,2.82857e-06,298.913,300.237,0.282904,-1.72714e-10,-9258.38,-1.89485e-06,0.050453,680.902,3.79299e+09
0.000112805,0.0090319,19.9455,397.823,2.82807e-06,298.886,300.239,0.282906,-1.72393e-10,-9227.48,-1.89132e-06,0.0515406,680.924,3.79299e+09
0.000115698,0.00903271,19.9441,397.767,2.82758e-06,298.859,300.241,0.282908,-1.72073e-10,-9196.69,-1.88781e-06,0.0526246,680.947,3.79299e+09
0.00011859,0.00903353,19.9427,397.712,2.82708e-06,298.833,300.242,0.28291,-1.71754e-10,-9166.02,-1.88432e-06,0.0537049,680.969,3.79299e+09
0.000121483,0.00903435,19.9413,397.656,2.82658e-06,298.806,300.244,0.282912,-1.71437e-10,-9135.44,-1.88084e-06,0.0547817,680.992,3.79299e+09
0.000124375,0.00903517,19.9399,397.601,2.82609e-06,298.78,300.246,0.282914,-1.71122e-10,-9104.98,-1.87738e-06,0.055855,681.014,3.79299e+09
0.000127268,0.00903598,19.9386,397.546,2.82559e-06,298.754,300.248,0.282916,-1.70807e-10,-9074.62,-1.87393e-06,0.0569247,681.037,3.79299e+09
0.00013016,0.0090368,19.9372,397.491,2.8251e-06,298.727,300.25,0.282918,-1.70495e-10,-9044.37,-1.8705e-06,0.0579909,681.059,3.79299e+09
0.000133052,0.00903762,19.9358,397.436,2.8246e-06,298.701,300.252,0.28292,-1.70183e-10,-9014.23,-1.86708e-06,0.0590535,681.081,3.79299e+09
0.000135945,0.00903844,19.9344,397.381,2.82411e-06,298.675,300.254,0.282922,-1.69873e-10,-8984.19,-1.86368e-06,0.0601127,681.103,3.79299e+09
0.000138837,0.00903926,19.9331,397.327,2.82362e-06,298.649,300.256,0.282924,-1.69565e-10,-8954.26,-1.8603e-06,0.0611684,681.125,3.79299e+09
0.00014173,0.00904007,19.9317,397.272,2.82313e-06,298.623,300.257,0.282926,-1.69258e-10,-8924.43,-1.85693e-06,0.0622206,681.147,3.79299e+09
0.000144622,0.00904089,19.9303,397.218,2.82264e-06,298.597,300.259,0.282928,-1.68952e-10,-8894.71,-1.85357e-06,0.0632693,681.169,3.79299e+09
0.000147515,0.00904171,19.929,397.163,2.82215e-06,298.572,300.261,0.28293,-1.68648e-10,-8865.09,-1.85023e-06,0.0643146,681.191,3.79299e+09
0.000150407,0.00904253,19.9276,397.109,2.82166e-06,298.546,300.263,0.282932,-1.68345e-10,-8835.58,-1.84691e-06,0.0653565,681.212,3.79299e+09
0.0001533,0.00904335,19.9262,397.055,2.82118e-06,298.52,300.265,0.282934,-1.68043e-10,-8806.17,-1.8436e-06,0.0663949,681.234,3.79299e+09
0.000156192,0.00904416,19.9249,397.001,2.82069e-06,298.495,300.267,0.282936,-1.67743e-10,-8776.86,-1.8403e-06,0.06743,681.256,3.79299e+09
0.000159084,0.00904498,19.9235,396.947,2.8202e-06,298.47,300.269,0.282938,-1.67444e-10,-8747.66,-1.83702e-06,0.0684616,681.277,3.79299e+09
