# grid [m], ug [m/s], rhog, Tg [K], Yf, YO2, YOH, YCO, YCO2, phi_g, Sm, Sh, Syf
0,0.28083,1.22036,300,-1.17226e-17,1.61423e-14,7.48249e-16,-4.88873e-16,-1.816e-16,-1.44381e-16,0,0,-0
6.66667e-05,0.28083,1.22036,300,-1.12258e-17,3.06906e-14,7.48253e-16,-4.88873e-16,-1.81832e-16,-1.38262e-16,0,0,-0
0.000133333,0.28083,1.22036,300,-1.07366e-17,3.4666e-14,7.48254e-16,-4.88873e-16,-1.8211e-16,-1.32237e-16,0,0,-0
0.0002,0.28083,1.22036,300,-1.02486e-17,3.61543e-14,7.48254e-16,-4.88873e-16,-1.82421e-16,-1.26226e-16,0,0,-0
0.000266667,0.28083,1.22036,300,-9.76149e-18,3.67105e-14,7.48254e-16,-4.88873e-16,-1.82756e-16,-1.20227e-16,0,0,-0
0.000333333,0.28083,1.22036,300,-9.2754e-18,3.69134e-14,7.48254e-16,-4.88872e-16,-1.83108e-16,-1.1424e-16,0,0,-0
0.0004,0.28083,1.22036,300,-8.79029e-18,3.69779e-14,7.48254e-16,-4.88872e-16,-1.83473e-16,-1.08265e-16,0,0,-0
0.000466667,0.28083,1.22036,300,-8.30613e-18,3.69797e-14,7.48253e-16,-4.88872e-16,-1.83848e-16,-1.02302e-16,0,0,-0
0.000533333,0.28083,1.22036,300,-7.82288e-18,3.69375e-14,7.48253e-16,-4.88872e-16,-1.84228e-16,-9.63501e-17,0,0,-0
0.0006,0.28083,1.22036,300,-7.34045e-18,3.684e-14,7.48253e-16,-4.88872e-16,-1.84614e-16,-9.04083e-17,0,0,-0
0.000666667,0.28083,1.22036,300,-6.85869e-18,3.6648e-14,7.48253e-16,-4.88872e-16,-1.85003e-16,-8.44747e-17,0,0,-0
0.000733333,0.28083,1.22036,300,-6.3773e-18,3.62817e-14,7.48252e-16,-4.88872e-16,-1.85394e-16,-7.85457e-17,0,0,-0
0.0008,0.28083,1.22036,300,-5.89573e-18,3.55931e-14,7.48252e-16,-4.88871e-16,-1.85788e-16,-7.26144e-17,0,0,-0
0.000866667,0.28083,1.22036,300,-5.41289e-18,3.43363e-14,7.48251e-16,-4.88871e-16,-1.86182e-16,-6.66676e-17,0,0,-0
0.000933333,0.28083,1.22036,300,-4.92676e-18,3.22286e-14,7.4825e-16,-4.88871e-16,-1.86578e-16,-6.06801e-17,0,0,-0
0.001,0.28083,1.22036,300,-4.43343e-18,3.01322e-14,7.48249e-16,-4.88871e-16,-1.86974e-16,-5.46041e-17,0,0,-0
0.00106667,0.28083,1.22036,300,-3.93368e-18,3.05523e-14,7.48249e-16,-4.88871e-16,-1.87371e-16,-4.8449e-17,0,0,-0
0.00113333,0.28083,1.22036,300,-3.45929e-18,3.02118e-14,7.48249e-16,-4.88871e-16,-1.87768e-16,-4.26061e-17,0,0,-0
0.0012,0.28083,1.22036,300,-2.98607e-18,3.00788e-14,7.48249e-16,-4.8887e-16,-1.88166e-16,-3.67778e-17,0,0,-0
0.00126667,0.28083,1.22036,300,-2.51383e-18,3.00287e-14,7.48249e-16,-4.8887e-16,-1.88563e-16,-3.09615e-17,0,0,-0
0.00133333,0.28083,1.22036,300,-2.04257e-18,3.00097e-14,7.48249e-16,-4.8887e-16,-1.88961e-16,-2.51572e-17,0,0,-0
0.0014,0.28083,1.22036,300,-1.57227e-18,3.00024e-14,7.48249e-16,-4.8887e-16,-1.89359e-16,-1.93648e-17,0,0,-0
0.00146667,0.28083,1.22036,300,-1.10295e-18,2.99993e-14,7.48249e-16,-4.8887e-16,-1.89756e-16,-1.35844e-17,0,0,-0
0.00153333,0.28083,1.22036,300,-6.34592e-19,2.99982e-14,7.48249e-16,-4.8887e-16,-1.90154e-16,-7.81592e-18,0,0,-0
0.0016,0.28083,1.22036,300,-1.67201e-19,2.99978e-14,7.48249e-16,-4.8887e-16,-1.90552e-16,-2.05932e-18,0,0,-0
0.00166667,0.28083,1.22036,300,2.99227e-19,2.99977e-14,7.48249e-16,-4.88869e-16,-1.9095e-16,3.68541e-18,0,0,0
0.00173333,0.28083,1.22036,300,7.64692e-19,2.99976e-14,7.48249e-16,-4.88869e-16,-1.91348e-16,9.41829e-18,0,0,0
0.0018,0.28083,1.22036,300,1.2292e-18,2.99976e-14,7.48249e-16,-4.88869e-16,-1.91746e-16,1.51393e-17,0,0,0
0.00186667,0.28083,1.22036,300,1.69274e-18,2.99976e-14,7.48249e-16,-4.88869e-16,-1.92144e-16,2.08486e-17,0,0,0
0.00193333,0.28083,1.22036,300,2.15534e-18,2.99976e-14,7.48249e-16,-4.88869e-16,-1.92542e-16,2.65461e-17,0,0,0
0.002,0.28083,1.22036,300,2.61697e-18,2.99976e-14,7.48249e-16,-4.88869e-16,-1.92939e-16,3.22318e-17,0,0,0
0.00206667,0.28083,1.22036,300,3.07765e-18,2.99976e-14,7.48249e-16,-4.88869e-16,-1.93337e-16,3.79058e-17,0,0,0
0.00213333,0.28083,1.22036,300,3.53739e-18,2.99976e-14,7.48249e-16,-4.88868e-16,-1.93735e-16,4.3568e-17,0,0,0
0.0022,0.28083,1.22036,300,3.99617e-18,2.99976e-14,7.48249e-16,-4.88868e-16,-1.94133e-16,4.92186e-17,0,0,0
0.00226667,0.28083,1.22036,300,4.454e-18,2.99976e-14,7.48249e-16,-4.88868e-16,-1.94531e-16,5.48575e-17,0,0,0
0.00233333,0.28083,1.22036,300,4.91089e-18,2.99976e-14,7.48249e-16,-4.88868e-16,-1.94929e-16,6.04848e-17,0,0,0
0.0024,0.28083,1.22036,300,5.36684e-18,2.99976e-14,7.48249e-16,-4.88868e-16,-1.95326e-16,6.61004e-17,0,0,0
0.00246667,0.28083,1.22036,300,5.82184e-18,2.99976e-14,7.48249e-16,-4.88868e-16,-1.95724e-16,7.17044e-17,0,0,0
0.00253333,0.28083,1.22036,300,6.27591e-18,2.99976e-14,7.48249e-16,-4.88867e-16,-1.96122e-16,7.72969e-17,0,0,0
0.0026,0.28083,1.22036,300,6.72903e-18,2.99976e-14,7.48249e-16,-4.88867e-16,-1.96519e-16,8.28778e-17,0,0,0
0.00266667,0.28083,1.22036,300,7.18122e-18,2.99976e-14,7.48249e-16,-4.88867e-16,-1.96917e-16,8.84471e-17,0,0,0
0.00273333,0.28083,1.22036,300,7.63247e-18,2.99976e-14,7.48249e-16,-4.88867e-16,-1.97315e-16,9.40049e-17,0,0,0
0.0028,0.28083,1.22036,300,8.0828e-18,2.99975e-14,7.48249e-16,-4.88867e-16,-1.97712e-16,9.95513e-17,0,0,0
0.00286667,0.28083,1.22036,300,8.53218e-18,2.99975e-14,7.48249e-16,-4.88867e-16,-1.9811e-16,1.05086e-16,0,0,0
0.00293333,0.28083,1.22036,300,8.98064e-18,2.99975e-14,7.48249e-16,-4.88867e-16,-1.98508e-16,1.1061e-16,0,0,0
0.003,0.28083,1.22036,300,9.42818e-18,2.99975e-14,7.48249e-16,-4.88866e-16,-1.98905e-16,1.16122e-16,0,0,0
0.00306667,0.28083,1.22036,300,9.87478e-18,2.99975e-14,7.48249e-16,-4.88866e-16,-1.99303e-16,1.21622e-16,0,0,0
0.00313333,0.28083,1.22036,300,1.03205e-17,2.99975e-14,7.48249e-16,-4.88866e-16,-1.997e-16,1.27111e-16,0,0,0
0.0032,0.28083,1.22036,300,1.07652e-17,2.99975e-14,7.48249e-16,-4.88866e-16,-2.00098e-16,1.32589e-16,0,0,0
0.00326667,0.28083,1.22036,300,1.12091e-17,2.99975e-14,7.48249e-16,-4.88866e-16,-2.00496e-16,1.38056e-16,0,0,0
0.00333333,0.28083,1.22036,300,1.1652e-17,2.99975e-14,7.48249e-16,-4.88866e-16,-2.00893e-16,1.43511e-16,0,0,0
0.0034,0.28083,1.22036,300,1.2094e-17,2.99975e-14,7.48249e-16,-4.88865e-16,-2.01291e-16,1.48955e-16,0,0,0
0.00346667,0.28083,1.22036,300,1.25351e-17,2.99975e-14,7.48249e-16,-4.88865e-16,-2.01688e-16,1.54388e-16,0,0,0
0.00353333,0.28083,1.22036,300,1.29752e-17,2.99975e-14,7.48249e-16,-4.88865e-16,-2.02085e-16,1.59809e-16,0,0,0
0.0036,0.28083,1.22036,300,1.34145e-17,2.99975e-14,7.48249e-16,-4.88865e-16,-2.02483e-16,1.65219e-16,0,0,0
0.00366667,0.28083,1.22036,300,1.38529e-17,2.99975e-14,7.48249e-16,-4.88865e-16,-2.0288e-16,1.70618e-16,0,0,0
0.00373333,0.28083,1.22036,300,1.42903e-17,2.99975e-14,7.48249e-16,-4.88865e-16,-2.03278e-16,1.76006e-16,0,0,0
0.0038,0.28083,1.22036,300,1.47268e-17,2.99975e-14,7.48249e-16,-4.88865e-16,-2.03675e-16,1.81382e-16,0,0,0
