# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s], Mliquid
0,0.009,20,400,2.84829e-06,300,300.042,0.332569,0,0,0,0,679.979,4.46136e+09
2.44298e-06,0.00900081,20.0009,400.035,2.84784e-06,299.974,300.043,0.33257,-1.85735e-10,-10549.6,-2.02433e-06,0.00261325,680.001,4.46136e+09
4.88596e-06,0.00900162,19.9996,399.984,2.84738e-06,299.948,300.044,0.332571,-1.8541e-10,-10520.1,-2.02079e-06,0.00361302,680.023,4.46136e+09
7.32893e-06,0.00900244,19.9983,399.933,2.84693e-06,299.923,300.044,0.332572,-1.85087e-10,-10490.8,-2.01726e-06,0.00460988,680.045,4.46136e+09
9.77191e-06,0.00900325,19.9971,399.882,2.84648e-06,299.897,300.045,0.332572,-1.84765e-10,-10461.5,-2.01375e-06,0.00560385,680.067,4.46136e+09
1.22149e-05,0.00900406,19.9958,399.832,2.84603e-06,299.871,300.045,0.332573,-1.84444e-10,-10432.3,-2.01025e-06,0.00659491,680.088,4.46136e+09
1.46579e-05,0.00900487,19.9945,399.781,2.84558e-06,299.846,300.046,0.332574,-1.84124e-10,-10403.2,-2.00677e-06,0.0075831,680.11,4.46136e+09
1.71008e-05,0.00900569,19.9933,399.73,2.84513e-06,299.821,300.046,0.332575,-1.83806e-10,-10374.2,-2.0033e-06,0.0085684,680.132,4.46136e+09
1.95438e-05,0.0090065,19.992,399.68,2.84468e-06,299.795,300.047,0.332575,-1.83489e-10,-10345.3,-1.99984e-06,0.00955084,680.153,4.46136e+09
2.19868e-05,0.00900731,19.9907,399.63,2.84423e-06,299.77,300.048,0.332576,-1.83173e-10,-10316.5,-1.9964e-06,0.0105304,680.175,4.46136e+09
2.44298e-05,0.00900812,19.9895,399.579,2.84378e-06,299.745,300.048,0.332577,-1.82858e-10,-10287.7,-1.99297e-06,0.0115071,680.196,4.46136e+09
2.68728e-05,0.00900894,19.9882,399.529,2.84333e-06,299.72,300.049,0.332578,-1.82545e-10,-10259.1,-1.98955e-06,0.012481,680.217,4.46136e+09
2.93157e-05,0.00900975,19.987,399.479,2.84289e-06,299.695,300.049,0.332579,-1.82233e-10,-10230.5,-1.98615e-06,0.0134521,680.239,4.46136e+09
3.17587e-05,0.00901056,19.9857,399.429,2.84244e-06,299.67,300.05,0.332579,-1.81922e-10,-10202,-1.98276e-06,0.0144203,680.26,4.46136e+09
3.42017e-05,0.00901137,19.9845,399.379,2.842e-06,299.645,300.051,0.33258,-1.81612e-10,-10173.6,-1.97939e-06,0.0153857,680.281,4.46136e+09
3.66447e-05,0.00901219,19.9832,399.329,2.84155e-06,299.62,300.051,0.332581,-1.81303e-10,-10145.3,-1.97602e-06,0.0163483,680.302,4.46136e+09
3.90876e-05,0.009013,19.982,399.279,2.84111e-06,299.595,300.052,0.332582,-1.80996e-10,-10117.1,-1.97267e-06,0.0173081,680.323,4.46136e+09
4.15306e-05,0.00901381,19.9807,399.23,2.84067e-06,299.57,300.052,0.332582,-1.8069e-10,-10089,-1.96934e-06,0.0182652,680.344,4.46136e+09
4.39736e-05,0.00901462,19.9795,399.18,2.84023e-06,299.546,300.053,0.332583,-1.80385e-10,-10060.9,-1.96601e-06,0.0192194,680.365,4.46136e+09
4.64166e-05,0.00901544,19.9783,399.131,2.83979e-06,299.521,300.053,0.332584,-1.80081e-10,-10033,-1.9627e-06,0.0201709,680.386,4.46136e+09
4.88596e-05,0.00901625,19.977,399.082,2.83935e-06,299.497,300.054,0.332585,-1.79778e-10,-10005.1,-1.9594e-06,0.0211196,680.407,4.46136e+09
5.13025e-05,0.00901706,19.9758,399.032,2.83891e-06,299.472,300.055,0.332585,-1.79477e-10,-9977.33,-1.95612e-06,0.0220656,680.427,4.46136e+09
5.37455e-05,0.00901787,19.9746,398.983,2.83847e-06,299.448,300.055,0.332586,-1.79177e-10,-9949.62,-1.95285e-06,0.0230088,680.448,4.46136e+09
5.61885e-05,0.00901869,19.9733,398.934,2.83803e-06,299.423,300.056,0.332587,-1.78878e-10,-9922.01,-1.94959e-06,0.0239493,680.469,4.46136e+09
5.86315e-05,0.0090195,19.9721,398.885,2.8376e-06,299.399,300.056,0.332588,-1.7858e-10,-9894.47,-1.94634e-06,0.0248871,680.489,4.46136e+09
6.10744e-05,0.00902031,19.9709,398.836,2.83716e-06,299.375,300.057,0.332589,-1.78283e-10,-9867.02,-1.94311e-06,0.0258221,680.51,4.46136e+09
6.35174e-05,0.00902112,19.9697,398.787,2.83672e-06,299.351,300.057,0.332589,-1.77987e-10,-9839.66,-1.93988e-06,0.0267545,680.53,4.46136e+09
6.59604e-05,0.00902194,19.9684,398.739,2.83629e-06,299.327,300.058,0.33259,-1.77693e-10,-9812.37,-1.93667e-06,0.0276841,680.551,4.46136e+09
6.84034e-05,0.00902275,19.9672,398.69,2.83585e-06,299.303,300.059,0.332591,-1.774e-10,-9785.17,-1.93348e-06,0.0286111,680.571,4.46136e+09
7.08463e-05,0.00902356,19.966,398.641,2.83542e-06,299.279,300.059,0.332592,-1.77107e-10,-9758.05,-1.93029e-06,0.0295354,680.591,4.46136e+09
7.32893e-05,0.00902437,19.9648,398.593,2.83499e-06,299.255,300.06,0.332592,-1.76816e-10,-9731.02,-1.92712e-06,0.030457,680.611,4.46136e+09
7.57323e-05,0.00902519,19.9636,398.545,2.83456e-06,299.231,300.06,0.332593,-1.76526e-10,-9704.06,-1.92396e-06,0.031376,680.631,4.46136e+09
7.81753e-05,0.009026,19.9624,398.496,2.83413e-06,299.208,300.061,0.332594,-1.76237e-10,-9677.19,-1.92081e-06,0.0322923,680.652,4.46136e+09
8.06183e-05,0.00902681,19.9612,398.448,2.83369e-06,299.184,300.062,0.332595,-1.7595e-10,-9650.4,-1.91768e-06,0.033206,680.672,4.46136e+09
8.30612e-05,0.00902762,19.96,398.4,2.83326e-06,299.16,300.062,0.332596,-1.75663e-10,-9623.69,-1.91455e-06,0.034117,680.692,4.46136e+09
8.55042e-05,0.00902844,19.9588,398.352,2.83284e-06,299.137,300.063,0.332596,-1.75378e-10,-9597.06,-1.91144e-06,0.0350254,680.712,4.46136e+09
8.79472e-05,0.00902925,19.9576,398.304,2.83241e-06,299.114,300.063,0.332597,-1.75093e-10,-9570.51,-1.90834e-06,0.0359312,680.731,4.46136e+09
9.03902e-05,0.00903006,19.9564,398.256,2.83198e-06,299.09,300.064,0.332598,-1.7481e-10,-9544.04,-1.90525e-06,0.0368344,680.751,4.46136e+09
9.28331e-05,0.00903087,19.9552,398.209,2.83155e-06,299.067,300.064,0.332599,-1.74527e-10,-9517.66,-1.90217e-06,0.037735,680.771,4.46136e+09
9.52761e-05,0.00903169,19.954,398.161,2.83113e-06,299.044,300.065,0.332599,-1.74246e-10,-9491.35,-1.89911e-06,0.038633,680.791,4.46136e+09
9.77191e-05,0.0090325,19.9528,398.113,2.8307e-06,299.02,300.066,0.3326,-1.73966e-10,-9465.12,-1.89606e-06,0.0395284,680.81,4.46136e+09
0.000100162,0.00903331,19.9516,398.066,2.83028e-06,298.997,300.066,0.332601,-1.73687e-10,-9438.97,-1.89302e-06,0.0404212,680.83,4.46136e+09
0.000102605,0.00903412,19.9504,398.018,2.82985e-06,298.974,300.067,0.332602,-1.73409e-10,-9412.89,-1.88999e-06,0.0413115,680.85,4.46136e+09
0.000105048,0.00903494,19.9492,397.971,2.82943e-06,298.951,300.067,0.332602,-1.73132e-10,-9386.9,-1.88697e-06,0.0421992,680.869,4.46136e+09
0.000107491,0.00903575,19.948,397.924,2.829e-06,298.928,300.068,0.332603,-1.72856e-10,-9360.99,-1.88396e-06,0.0430844,680.888,4.46136e+09
0.000109934,0.00903656,19.9468,397.877,2.82858e-06,298.905,300.069,0.332604,-1.72581e-10,-9335.15,-1.88097e-06,0.0439671,680.908,4.46136e+09
0.000112377,0.00903737,19.9457,397.83,2.82816e-06,298.883,300.069,0.332605,-1.72308e-10,-9309.39,-1.87798e-06,0.0448472,680.927,4.46136e+09
0.00011482,0.00903819,19.9445,397.783,2.82774e-06,298.86,300.07,0.332606,-1.72035e-10,-9283.71,-1.87501e-06,0.0457248,680.946,4.46136e+09
0.000117263,0.009039,19.9433,397.736,2.82732e-06,298.837,300.07,0.332606,-1.71763e-10,-9258.1,-1.87205e-06,0.0465998,680.966,4.46136e+09
0.000119706,0.00903981,19.9421,397.689,2.8269e-06,298.815,300.071,0.332607,-1.71493e-10,-9232.57,-1.8691e-06,0.0474724,680.985,4.46136e+09
0.000122149,0.00904062,19.941,397.642,2.82648e-06,298.792,300.071,0.332608,-1.71223e-10,-9207.12,-1.86616e-06,0.0483425,681.004,4.46136e+09
0.000124592,0.00904144,19.9398,397.596,2.82606e-06,298.77,300.072,0.332609,-1.70954e-10,-9181.75,-1.86323e-06,0.0492101,681.023,4.46136e+09
0.000127035,0.00904225,19.9386,397.549,2.82564e-06,298.747,300.073,0.332609,-1.70687e-10,-9156.45,-1.86031e-06,0.0500752,681.042,4.46136e+09
0.000129478,0.00904306,19.9375,397.503,2.82523e-06,298.725,300.073,0.33261,-1.7042e-10,-9131.22,-1.85741e-06,0.0509378,681.061,4.46136e+09
0.000131921,0.00904387,19.9363,397.456,2.82481e-06,298.702,300.074,0.332611,-1.70154e-10,-9106.07,-1.85451e-06,0.051798,681.08,4.46136e+09
0.000134364,0.00904469,19.9351,397.41,2.8244e-06,298.68,300.074,0.332612,-1.6989e-10,-9081,-1.85163e-06,0.0526557,681.099,4.46136e+09
0.000136807,0.0090455,19.934,397.364,2.82398e-06,298.658,300.075,0.332613,-1.69626e-10,-9056,-1.84875e-06,0.0535109,681.118,4.46136e+09
0.00013925,0.00904631,19.9328,397.317,2.82357e-06,298.636,300.075,0.332613,-1.69363e-10,-9031.08,-1.84589e-06,0.0543638,681.136,4.46136e+09
0.000141693,0.00904712,19.9317,397.271,2.82315e-06,298.614,300.076,0.332614,-1.69102e-10,-9006.23,-1.84304e-06,0.0552141,681.155,4.46136e+09
0.000144136,0.00904793,19.9305,397.225,2.82274e-06,298.592,300.077,0.332615,-1.68841e-10,-8981.45,-1.8402e-06,0.0560621,681.174,4.46136e+09
0.000146579,0.00904875,19.9294,397.179,2.82233e-06,298.57,300.077,0.332616,-1.68581e-10,-8956.75,-1.83737e-06,0.0569077,681.192,4.46136e+09
0.000149022,0.00904956,19.9282,397.134,2.82192e-06,298.548,300.078,0.332616,-1.68323e-10,-8932.12,-1.83455e-06,0.0577508,681.211,4.46136e+09
0.000151465,0.00905037,19.9271,397.088,2.8215e-06,298.526,300.078,0.332617,-1.68065e-10,-8907.57,-1.83174e-06,0.0585916,681.229,4.46136e+09
0.000153908,0.00905118,19.9259,397.042,2.82109e-06,298.504,300.079,0.332618,-1.67808e-10,-8883.08,-1.82894e-06,0.0594299,681.248,4.46136e+09
0.000156351,0.009052,19.9248,396.997,2.82068e-06,298.483,300.08,0.332619,-1.67552e-10,-8858.67,-1.82615e-06,0.0602659,681.266,4.46136e+09
0.000158794,0.00905281,19.9236,396.951,2.82027e-06,298.461,300.08,0.332619,-1.67298e-10,-8834.34,-1.82338e-06,0.0610995,681.284,4.46136e+09
0.000161237,0.00905362,19.9225,396.906,2.81987e-06,298.439,300.081,0.33262,-1.67044e-10,-8810.07,-1.82061e-06,0.0619307,681.303,4.46136e+09
0.000163679,0.00905443,19.9213,396.86,2.81946e-06,298.418,300.081,0.332621,-1.66791e-10,-8785.88,-1.81785e-06,0.0627596,681.321,4.46136e+09
0.000166122,0.00905525,19.9202,396.815,2.81905e-06,298.396,300.082,0.332622,-1.66539e-10,-8761.76,-1.8151e-06,0.0635861,681.339,4.46136e+09
0.000168565,0.00905606,19.9191,396.77,2.81864e-06,298.375,300.082,0.332623,-1.66288e-10,-8737.71,-1.81237e-06,0.0644102,681.357,4.46136e+09
0.000171008,0.00905687,19.9179,396.725,2.81824e-06,298.354,300.083,0.332623,-1.66037e-10,-8713.73,-1.80964e-06,0.0652321,681.375,4.46136e+09
0.000173451,0.00905768,19.9168,396.679,2.81783e-06,298.332,300.084,0.332624,-1.65788e-10,-8689.83,-1.80692e-06,0.0660516,681.393,4.46136e+09
0.000175894,0.0090585,19.9157,396.634,2.81743e-06,298.311,300.084,0.332625,-1.6554e-10,-8665.99,-1.80422e-06,0.0668687,681.411,4.46136e+09
0.000178337,0.00905931,19.9146,396.59,2.81702e-06,298.29,300.085,0.332626,-1.65292e-10,-8642.22,-1.80152e-06,0.0676836,681.429,4.46136e+09
