0.00507,301.89756
0.006,297.75711
0.00675,297.75711
0.00752,293.61666
0.00776,297.75711
0.00791,301.89756
0.008,336.40132
0.00801,405.40883
0.00808,491.66823
0.00813,607.60085
0.00816,766.31814
0.0082,891.22174
0.00821,1037.51768
0.00827,1239.01962
0.00828,1419.81931
0.00833,1578.5366
0.0084,1759.33629
0.00848,1909.77267
0.00855,1973.94966
0.00868,2042.95718
0.00879,2107.13417
0.00897,2146.46845
0.00917,2180.28213
0.00941,2193.39356
0.00969,2197.53401
0.00997,2197.53401
0.01039,2206.50499
0.01084,2193.39356
0.01129,2201.67446
0.01178,2193.39356
0.01224,2193.39356
0.01278,2193.39356
0.01324,2193.39356
0.01373,2206.50499
0.01423,2206.50499
0.01479,2197.53401
0.01497,2206.50499
