250,908.284,176.294,441061
251,907.403,190.598,440566
252,906.522,205.913,440070
253,905.639,222.298,439573
254,904.756,239.818,439075
255,903.872,258.537,438576
256,902.987,278.525,438076
257,902.101,299.855,437576
258,901.213,322.6,437074
259,900.325,346.84,436572
260,899.436,372.657,436068
261,898.546,400.136,435564
262,897.655,429.366,435059
263,896.762,460.441,434552
264,895.869,493.457,434045
265,894.975,528.514,433537
266,894.08,565.718,433028
267,893.183,605.176,432518
268,892.286,647.002,432007
269,891.388,691.313,431495
270,890.488,738.23,430982
271,889.588,787.88,430468
272,888.686,840.394,429953
273,887.784,895.908,429437
274,886.88,954.561,428920
275,885.976,1016.5,428402
276,885.07,1081.87,427883
277,884.163,1150.84,427363
278,883.255,1223.56,426842
279,882.346,1300.19,426320
280,881.436,1380.92,425797
281,880.524,1465.91,425273
282,879.612,1555.35,424747
283,878.699,1649.43,424221
284,877.784,1748.35,423694
285,876.868,1852.3,423166
286,875.951,1961.49,422636
287,875.033,2076.13,422106
288,874.114,2196.44,421574
289,873.194,2322.65,421042
290,872.272,2454.99,420508
291,871.35,2593.7,419973
292,870.426,2739.02,419437
293,869.501,2891.2,418901
294,868.575,3050.51,418362
295,867.647,3217.2,417823
296,866.719,3391.56,417283
297,865.789,3573.85,416741
298,864.858,3764.36,416199
299,863.925,3963.4,415655
300,862.992,4171.26,415110
301,862.057,4388.24,414564
302,861.121,4614.67,414017
303,860.184,4850.86,413469
304,859.246,5097.16,412919
305,858.306,5353.88,412369
306,857.365,5621.39,411817
307,856.423,5900.04,411264
308,855.479,6190.18,410709
309,854.534,6492.2,410154
310,853.588,6806.45,409597
311,852.641,7133.34,409039
312,851.692,7473.25,408480
313,850.742,7826.58,407920
314,849.791,8193.75,407358
315,848.838,8575.18,406795
316,847.884,8971.28,406231
317,846.929,9382.5,405666
318,845.972,9809.28,405099
319,845.014,10252.1,404531
320,844.054,10711.3,403962
321,843.093,11187.5,403392
322,842.131,11681.1,402820
323,841.167,12192.6,402247
324,840.202,12722.5,401672
325,839.236,13271.3,401097
326,838.268,13839.5,400519
327,837.298,14427.6,399941
328,836.327,15036.1,399361
329,835.355,15665.7,398780
330,834.381,16316.7,398198
331,833.406,16989.9,397614
332,832.429,17685.7,397029
333,831.451,18404.8,396442
334,830.472,19147.6,395854
335,829.49,19914.8,395264
336,828.508,20707,394674
337,827.523,21524.8,394081
338,826.538,22368.8,393488
339,825.55,23239.6,392892
340,824.561,24137.9,392296
341,823.571,25064.2,391698
342,822.579,26019.4,391098
343,821.585,27003.9,390497
344,820.59,28018.5,389895
345,819.593,29063.8,389291
346,818.595,30140.6,388685
347,817.595,31249.4,388078
348,816.593,32391.1,387469
349,815.589,33566.4,386859
350,814.584,34775.8,386248
351,813.578,36020.3,385634
352,812.569,37300.4,385020
353,811.559,38617,384403
354,810.547,39970.7,383785
355,809.534,41362.5,383166
356,808.519,42792.9,382544
357,807.502,44262.8,381921
358,806.483,45773,381297
359,805.462,47324.3,380671
360,804.44,48917.5,380043
361,803.416,50553.3,379414
362,802.39,52232.6,378782
363,801.362,53956.3,378150
364,800.333,55725.1,377515
365,799.301,57539.8,376879
366,798.268,59401.4,376241
367,797.233,61310.7,375601
368,796.196,63268.6,374960
369,795.157,65275.9,374316
370,794.116,67333.4,373671
371,793.073,69442.2,373024
372,792.029,71603.1,372376
373,790.982,73816.9,371725
374,789.933,76084.6,371073
375,788.883,78407.2,370419
376,787.83,80785.4,369763
377,786.775,83220.4,369105
378,785.719,85712.9,368445
379,784.66,88264,367783
380,783.599,90874.6,367120
381,782.537,93545.7,366454
382,781.472,96278.2,365787
383,780.405,99073.1,365117
384,779.335,101931,364446
385,778.264,104854,363772
386,777.191,107842,363097
387,776.115,110896,362419
388,775.037,114018,361740
389,773.957,117208,361058
390,772.875,120468,360375
391,771.79,123798,359689
392,770.704,127200,359001
393,769.615,130674,358311
394,768.523,134221,357619
395,767.429,137844,356924
396,766.333,141542,356228
397,765.235,145316,355529
398,764.134,149169,354828
399,763.031,153101,354125
400,761.926,157112,353420
401,760.818,161205,352712
402,759.707,165380,352002
403,758.594,169638,351290
404,757.479,173980,350575
405,756.361,178409,349859
406,755.24,182923,349139
407,754.117,187526,348418
408,752.992,192218,347693
