  Grid,   Temperature,   Uvec,  C7H16, O2, CO2
   4.267e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.724e-19
   4.333e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.727e-19
   4.400e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.735e-19
   4.467e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.751e-19
   4.533e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.782e-19
   4.600e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.844e-19
   4.667e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.971e-19
   4.733e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -8.225e-19
   4.800e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -8.739e-19
   4.867e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -9.772e-19
   4.933e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.186e-18
   5.000e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.605e-18
   5.067e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -2.451e-18
   5.133e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -4.154e-18
   5.200e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -7.586e-18
   5.267e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.450e-17
   5.333e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -2.843e-17
   5.400e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -5.650e-17
   5.467e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.130e-16
   5.533e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -2.270e-16
   5.600e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -4.565e-16
   5.667e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -9.190e-16
   5.733e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.975e-15
   5.800e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -4.102e-15
   5.867e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -8.388e-15
   5.933e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.702e-14
   6.000e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -3.442e-14
   6.067e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -6.947e-14
   6.133e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.401e-13
   6.200e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -2.824e-13
   6.267e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -5.692e-13
   6.333e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.147e-12
   6.400e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -2.310e-12
   6.467e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -4.655e-12
   6.533e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -9.378e-12
   6.600e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.888e-11
   6.667e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.660e-11
   6.733e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.666e-11
   6.800e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.678e-11
   6.867e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.678e-11
   6.933e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.678e-11
   7.000e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.677e-11
   7.067e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.677e-11
   7.133e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.676e-11
   7.200e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.674e-11
   7.267e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.669e-11
   7.333e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.660e-11
   7.400e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.643e-11
   7.467e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.607e-11
   7.533e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.534e-11
   7.600e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.388e-11
   7.667e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -1.094e-11
   7.733e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,  -5.020e-12
   7.800e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   6.914e-12
   7.867e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   3.096e-11
   7.933e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   7.940e-11
   8.000e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   1.770e-10
   8.067e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   3.736e-10
   8.133e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   7.698e-10
   8.200e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   1.568e-09
   8.267e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   3.176e-09
   8.333e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   6.416e-09
   8.400e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   1.294e-08
   8.467e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   2.609e-08
   8.533e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   5.259e-08
   8.600e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   1.060e-07
   8.667e-03,   3.000e+02,   3.140e-01,   5.020e-02,   2.203e-01,   2.135e-07
   8.733e-03,   3.000e+02,   3.140e-01,   5.019e-02,   2.203e-01,   4.302e-07
   8.800e-03,   3.000e+02,   3.140e-01,   5.019e-02,   2.203e-01,   8.668e-07
   8.867e-03,   3.000e+02,   3.140e-01,   5.019e-02,   2.203e-01,   1.746e-06
   8.933e-03,   3.000e+02,   3.140e-01,   5.019e-02,   2.203e-01,   3.518e-06
   9.000e-03,   3.001e+02,   3.141e-01,   5.018e-02,   2.203e-01,   7.087e-06
   9.067e-03,   3.002e+02,   3.142e-01,   5.018e-02,   2.202e-01,   1.428e-05
   9.133e-03,   3.004e+02,   3.144e-01,   5.016e-02,   2.202e-01,   2.875e-05
   9.200e-03,   3.008e+02,   3.148e-01,   5.014e-02,   2.201e-01,   5.789e-05
   9.267e-03,   3.016e+02,   3.157e-01,   5.009e-02,   2.200e-01,   1.164e-04
   9.333e-03,   3.032e+02,   3.174e-01,   4.999e-02,   2.198e-01,   2.338e-04
   9.400e-03,   3.065e+02,   3.209e-01,   4.981e-02,   2.193e-01,   4.675e-04
   9.467e-03,   3.129e+02,   3.279e-01,   4.945e-02,   2.185e-01,   9.279e-04
   9.533e-03,   3.256e+02,   3.414e-01,   4.877e-02,   2.168e-01,   1.816e-03
   9.600e-03,   3.496e+02,   3.672e-01,   4.749e-02,   2.138e-01,   3.464e-03
   9.667e-03,   3.930e+02,   4.139e-01,   4.527e-02,   2.084e-01,   6.345e-03
   9.733e-03,   4.658e+02,   4.927e-01,   4.169e-02,   1.999e-01,   1.099e-02
   9.800e-03,   5.774e+02,   6.150e-01,   3.643e-02,   1.872e-01,   1.786e-02
   9.867e-03,   7.341e+02,   7.897e-01,   2.925e-02,   1.700e-01,   2.726e-02
   9.933e-03,   9.372e+02,   1.022e+00,   2.011e-02,   1.480e-01,   3.943e-02
   1.000e-02,   1.182e+03,   1.308e+00,   9.816e-03,   1.216e-01,   5.439e-02
   1.007e-02,   1.447e+03,   1.627e+00,   1.666e-03,   9.191e-02,   7.186e-02
   1.013e-02,   1.658e+03,   1.879e+00,   4.279e-05,   6.623e-02,   9.004e-02
   1.020e-02,   1.766e+03,   2.002e+00,   3.376e-07,   5.209e-02,   1.053e-01
   1.027e-02,   1.823e+03,   2.062e+00,   1.442e-09,   4.536e-02,   1.164e-01
   1.033e-02,   1.863e+03,   2.102e+00,   4.079e-12,   4.178e-02,   1.243e-01
   1.040e-02,   1.894e+03,   2.132e+00,   8.371e-15,   3.954e-02,   1.299e-01
   1.047e-02,   1.920e+03,   2.158e+00,   1.321e-17,   3.794e-02,   1.340e-01
   1.053e-02,   1.941e+03,   2.179e+00,   1.676e-20,   3.673e-02,   1.371e-01
   1.060e-02,   1.960e+03,   2.196e+00,   1.767e-23,   3.575e-02,   1.395e-01
   1.067e-02,   1.976e+03,   2.212e+00,   1.590e-26,   3.495e-02,   1.415e-01
   1.073e-02,   1.990e+03,   2.225e+00,   1.249e-29,   3.426e-02,   1.432e-01
   1.080e-02,   2.003e+03,   2.237e+00,   8.711e-33,   3.367e-02,   1.447e-01
   1.087e-02,   2.014e+03,   2.248e+00,   5.473e-36,   3.315e-02,   1.460e-01
   1.093e-02,   2.024e+03,   2.257e+00,   3.134e-39,   3.268e-02,   1.472e-01
   1.100e-02,   2.033e+03,   2.265e+00,   1.652e-42,   3.226e-02,   1.483e-01
   1.107e-02,   2.041e+03,   2.273e+00,   8.088e-46,   3.189e-02,   1.492e-01
   1.113e-02,   2.048e+03,   2.280e+00,   3.702e-49,   3.154e-02,   1.501e-01
   1.120e-02,   2.054e+03,   2.286e+00,   1.595e-52,   3.122e-02,   1.509e-01
   1.127e-02,   2.061e+03,   2.292e+00,   6.498e-56,   3.093e-02,   1.517e-01
   1.133e-02,   2.066e+03,   2.297e+00,   2.517e-59,   3.066e-02,   1.524e-01
   1.140e-02,   2.071e+03,   2.302e+00,   9.302e-63,   3.041e-02,   1.530e-01
   1.147e-02,   2.076e+03,   2.306e+00,   3.293e-66,   3.017e-02,   1.536e-01
   1.153e-02,   2.081e+03,   2.311e+00,   1.120e-69,   2.996e-02,   1.542e-01
   1.160e-02,   2.085e+03,   2.314e+00,   3.671e-73,   2.975e-02,   1.547e-01
   1.167e-02,   2.089e+03,   2.318e+00,   1.162e-76,   2.956e-02,   1.552e-01
   1.173e-02,   2.092e+03,   2.322e+00,   3.564e-80,   2.938e-02,   1.557e-01
   1.180e-02,   2.096e+03,   2.325e+00,   1.060e-83,   2.921e-02,   1.562e-01
   1.187e-02,   2.099e+03,   2.328e+00,   3.066e-87,   2.905e-02,   1.566e-01
   1.193e-02,   2.102e+03,   2.331e+00,   8.634e-91,   2.890e-02,   1.570e-01
   1.200e-02,   2.105e+03,   2.333e+00,   2.372e-94,   2.876e-02,   1.573e-01
   1.207e-02,   2.108e+03,   2.336e+00,   6.363e-98,   2.863e-02,   1.577e-01
   1.213e-02,   2.110e+03,   2.338e+00,  1.669e-101,   2.850e-02,   1.580e-01
   1.220e-02,   2.113e+03,   2.341e+00,  4.289e-105,   2.838e-02,   1.584e-01
   1.227e-02,   2.115e+03,   2.343e+00,  1.080e-108,   2.826e-02,   1.587e-01
   1.233e-02,   2.117e+03,   2.345e+00,  2.669e-112,   2.816e-02,   1.590e-01
   1.240e-02,   2.119e+03,   2.347e+00,  6.479e-116,   2.805e-02,   1.593e-01
   1.247e-02,   2.121e+03,   2.349e+00,  1.546e-119,   2.795e-02,   1.595e-01
   1.253e-02,   2.123e+03,   2.350e+00,  3.629e-123,   2.786e-02,   1.598e-01
   1.260e-02,   2.125e+03,   2.352e+00,  8.390e-127,   2.777e-02,   1.600e-01
   1.267e-02,   2.127e+03,   2.354e+00,  1.911e-130,   2.768e-02,   1.603e-01
   1.273e-02,   2.128e+03,   2.355e+00,  4.291e-134,   2.760e-02,   1.605e-01
   1.280e-02,   2.130e+03,   2.357e+00,  9.507e-138,   2.752e-02,   1.607e-01
   1.287e-02,   2.132e+03,   2.358e+00,  2.079e-141,   2.744e-02,   1.609e-01
   1.293e-02,   2.133e+03,   2.359e+00,  4.492e-145,   2.737e-02,   1.611e-01
   1.300e-02,   2.134e+03,   2.361e+00,  9.590e-149,   2.730e-02,   1.613e-01
   1.307e-02,   2.136e+03,   2.362e+00,  2.024e-152,   2.723e-02,   1.615e-01
   1.313e-02,   2.137e+03,   2.363e+00,  4.226e-156,   2.717e-02,   1.617e-01
   1.320e-02,   2.138e+03,   2.364e+00,  8.732e-160,   2.711e-02,   1.618e-01
   1.327e-02,   2.139e+03,   2.365e+00,  1.786e-163,   2.705e-02,   1.620e-01
   1.333e-02,   2.141e+03,   2.366e+00,  3.618e-167,   2.699e-02,   1.622e-01
