# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s], Mliquid
0,0.009,20,400,2.84829e-06,300,300.092,0.314011,0,0,0,0,679.979,8.42253e+08
2.77945e-06,0.00900087,20.0007,400.028,2.84777e-06,299.971,300.094,0.314013,-1.85696e-10,-10519.9,-4.34713e-07,0.00100306,680.004,8.42253e+08
5.5589e-06,0.00900175,19.9993,399.97,2.84726e-06,299.941,300.095,0.314014,-1.85327e-10,-10486.2,-4.33851e-07,0.00125163,680.029,8.42253e+08
8.33835e-06,0.00900262,19.9978,399.912,2.84674e-06,299.912,300.096,0.314015,-1.84961e-10,-10452.5,-4.32993e-07,0.00149939,680.054,8.42253e+08
1.11178e-05,0.00900349,19.9964,399.855,2.84623e-06,299.883,300.097,0.314017,-1.84596e-10,-10419,-4.32138e-07,0.00174633,680.078,8.42253e+08
1.38972e-05,0.00900436,19.9949,399.797,2.84572e-06,299.854,300.099,0.314018,-1.84232e-10,-10385.7,-4.31288e-07,0.00199245,680.103,8.42253e+08
1.66767e-05,0.00900524,19.9935,399.739,2.8452e-06,299.825,300.1,0.31402,-1.8387e-10,-10352.4,-4.30441e-07,0.00223777,680.128,8.42253e+08
1.94561e-05,0.00900611,19.992,399.682,2.84469e-06,299.797,300.101,0.314021,-1.8351e-10,-10319.3,-4.29598e-07,0.00248228,680.152,8.42253e+08
2.22356e-05,0.00900698,19.9906,399.625,2.84418e-06,299.768,300.102,0.314022,-1.83152e-10,-10286.2,-4.28758e-07,0.00272598,680.176,8.42253e+08
2.5015e-05,0.00900785,19.9892,399.567,2.84367e-06,299.739,300.103,0.314024,-1.82795e-10,-10253.3,-4.27923e-07,0.00296889,680.201,8.42253e+08
2.77945e-05,0.00900873,19.9878,399.51,2.84316e-06,299.711,300.105,0.314025,-1.8244e-10,-10220.5,-4.27091e-07,0.00321099,680.225,8.42253e+08
3.05739e-05,0.0090096,19.9863,399.453,2.84266e-06,299.682,300.106,0.314026,-1.82086e-10,-10187.8,-4.26263e-07,0.00345231,680.249,8.42253e+08
3.33534e-05,0.00901047,19.9849,399.397,2.84215e-06,299.654,300.107,0.314028,-1.81734e-10,-10155.2,-4.25439e-07,0.00369283,680.273,8.42253e+08
3.61328e-05,0.00901134,19.9835,399.34,2.84165e-06,299.626,300.108,0.314029,-1.81383e-10,-10122.8,-4.24619e-07,0.00393256,680.297,8.42253e+08
3.89123e-05,0.00901222,19.9821,399.283,2.84114e-06,299.598,300.11,0.31403,-1.81034e-10,-10090.4,-4.23802e-07,0.00417151,680.321,8.42253e+08
4.16917e-05,0.00901309,19.9807,399.227,2.84064e-06,299.57,300.111,0.314032,-1.80687e-10,-10058.2,-4.22988e-07,0.00440967,680.345,8.42253e+08
4.44712e-05,0.00901396,19.9793,399.17,2.84014e-06,299.542,300.112,0.314033,-1.80341e-10,-10026.1,-4.22179e-07,0.00464706,680.368,8.42253e+08
4.72506e-05,0.00901483,19.9778,399.114,2.83964e-06,299.514,300.113,0.314034,-1.79997e-10,-9994.07,-4.21373e-07,0.00488367,680.392,8.42253e+08
5.00301e-05,0.00901571,19.9764,399.058,2.83914e-06,299.486,300.115,0.314036,-1.79654e-10,-9962.17,-4.2057e-07,0.00511951,680.415,8.42253e+08
5.28095e-05,0.00901658,19.975,399.002,2.83864e-06,299.458,300.116,0.314037,-1.79313e-10,-9930.38,-4.19771e-07,0.00535458,680.439,8.42253e+08
5.5589e-05,0.00901745,19.9736,398.946,2.83814e-06,299.431,300.117,0.314039,-1.78973e-10,-9898.7,-4.18976e-07,0.00558888,680.462,8.42253e+08
5.83684e-05,0.00901832,19.9722,398.891,2.83764e-06,299.403,300.118,0.31404,-1.78635e-10,-9867.13,-4.18184e-07,0.00582241,680.486,8.42253e+08
6.11479e-05,0.0090192,19.9709,398.835,2.83714e-06,299.376,300.119,0.314041,-1.78298e-10,-9835.67,-4.17396e-07,0.00605519,680.509,8.42253e+08
6.39273e-05,0.00902007,19.9695,398.779,2.83665e-06,299.349,300.121,0.314043,-1.77963e-10,-9804.32,-4.16611e-07,0.00628721,680.532,8.42253e+08
6.67068e-05,0.00902094,19.9681,398.724,2.83615e-06,299.321,300.122,0.314044,-1.77629e-10,-9773.07,-4.1583e-07,0.00651847,680.555,8.42253e+08
6.94862e-05,0.00902181,19.9667,398.669,2.83566e-06,299.294,300.123,0.314045,-1.77297e-10,-9741.94,-4.15052e-07,0.00674898,680.578,8.42253e+08
7.22657e-05,0.00902269,19.9653,398.614,2.83517e-06,299.267,300.124,0.314047,-1.76966e-10,-9710.91,-4.14277e-07,0.00697874,680.601,8.42253e+08
7.50451e-05,0.00902356,19.9639,398.559,2.83468e-06,299.24,300.126,0.314048,-1.76637e-10,-9679.98,-4.13506e-07,0.00720776,680.624,8.42253e+08
7.78246e-05,0.00902443,19.9626,398.504,2.83418e-06,299.213,300.127,0.314049,-1.76309e-10,-9649.17,-4.12739e-07,0.00743603,680.647,8.42253e+08
