# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s], Mliquid
0,0.009,20,400,2.84829e-06,300,300.27,0.276207,0,0,0,0,679.979,7.40356e+08
3.38216e-06,0.00900093,20.0004,400.016,2.84766e-06,299.965,300.274,0.27621,-1.85655e-10,-10422.4,-4.6488e-07,0.00270257,680.009,7.40356e+08
6.76431e-06,0.00900187,19.9986,399.945,2.84703e-06,299.929,300.277,0.276213,-1.85211e-10,-10380.7,-4.63769e-07,0.00303997,680.039,7.40356e+08
1.01465e-05,0.0090028,19.9969,399.875,2.84641e-06,299.894,300.28,0.276217,-1.8477e-10,-10339.2,-4.62664e-07,0.00337605,680.069,7.40356e+08
1.35286e-05,0.00900373,19.9951,399.805,2.84578e-06,299.859,300.284,0.27622,-1.84331e-10,-10297.9,-4.61565e-07,0.00371083,680.099,7.40356e+08
1.69108e-05,0.00900467,19.9934,399.735,2.84516e-06,299.824,300.287,0.276223,-1.83895e-10,-10256.8,-4.60473e-07,0.0040443,680.128,7.40356e+08
2.02929e-05,0.0090056,19.9916,399.665,2.84454e-06,299.79,300.29,0.276226,-1.83461e-10,-10215.8,-4.59386e-07,0.00437648,680.158,7.40356e+08
2.36751e-05,0.00900653,19.9899,399.595,2.84392e-06,299.755,300.294,0.276229,-1.83029e-10,-10175,-4.58306e-07,0.00470737,680.187,7.40356e+08
2.70572e-05,0.00900747,19.9881,399.526,2.8433e-06,299.721,300.297,0.276232,-1.826e-10,-10134.4,-4.57231e-07,0.00503697,680.216,7.40356e+08
3.04394e-05,0.0090084,19.9864,399.457,2.84268e-06,299.687,300.301,0.276236,-1.82174e-10,-10093.9,-4.56163e-07,0.0053653,680.245,7.40356e+08
3.38216e-05,0.00900933,19.9847,399.388,2.84206e-06,299.652,300.304,0.276239,-1.81749e-10,-10053.7,-4.551e-07,0.00569236,680.274,7.40356e+08
3.72037e-05,0.00901027,19.983,399.319,2.84145e-06,299.618,300.307,0.276242,-1.81327e-10,-10013.5,-4.54044e-07,0.00601815,680.303,7.40356e+08
4.05859e-05,0.0090112,19.9812,399.25,2.84084e-06,299.585,300.311,0.276245,-1.80908e-10,-9973.6,-4.52993e-07,0.00634269,680.332,7.40356e+08
4.3968e-05,0.00901213,19.9795,399.182,2.84022e-06,299.551,300.314,0.276248,-1.8049e-10,-9933.83,-4.51948e-07,0.00666597,680.361,7.40356e+08
4.73502e-05,0.00901307,19.9778,399.113,2.83961e-06,299.517,300.317,0.276251,-1.80075e-10,-9894.22,-4.50908e-07,0.006988,680.389,7.40356e+08
5.07323e-05,0.009014,19.9761,399.045,2.839e-06,299.484,300.321,0.276255,-1.79662e-10,-9854.78,-4.49875e-07,0.0073088,680.417,7.40356e+08
5.41145e-05,0.00901493,19.9744,398.977,2.8384e-06,299.45,300.324,0.276258,-1.79252e-10,-9815.5,-4.48847e-07,0.00762836,680.446,7.40356e+08
5.74967e-05,0.00901587,19.9727,398.909,2.83779e-06,299.417,300.328,0.276261,-1.78844e-10,-9776.39,-4.47825e-07,0.00794669,680.474,7.40356e+08
6.08788e-05,0.0090168,19.971,398.842,2.83719e-06,299.384,300.331,0.276264,-1.78438e-10,-9737.44,-4.46808e-07,0.00826379,680.502,7.40356e+08
6.4261e-05,0.00901773,19.9693,398.774,2.83658e-06,299.351,300.334,0.276267,-1.78034e-10,-9698.65,-4.45797e-07,0.00857968,680.53,7.40356e+08
6.76431e-05,0.00901867,19.9676,398.707,2.83598e-06,299.318,300.338,0.27627,-1.77632e-10,-9660.02,-4.44791e-07,0.00889435,680.558,7.40356e+08
7.10253e-05,0.0090196,19.966,398.64,2.83538e-06,299.286,300.341,0.276274,-1.77233e-10,-9621.55,-4.43791e-07,0.00920782,680.585,7.40356e+08
7.44074e-05,0.00902053,19.9643,398.573,2.83478e-06,299.253,300.344,0.276277,-1.76836e-10,-9583.25,-4.42796e-07,0.00952009,680.613,7.40356e+08
7.77896e-05,0.00902147,19.9626,398.506,2.83418e-06,299.221,300.348,0.27628,-1.7644e-10,-9545.1,-4.41807e-07,0.00983116,680.641,7.40356e+08
8.11717e-05,0.0090224,19.9609,398.439,2.83358e-06,299.188,300.351,0.276283,-1.76048e-10,-9507.11,-4.40823e-07,0.010141,680.668,7.40356e+08
8.45539e-05,0.00902333,19.9593,398.373,2.83299e-06,299.156,300.355,0.276286,-1.75657e-10,-9469.28,-4.39845e-07,0.0104497,680.695,7.40356e+08
8.79361e-05,0.00902427,19.9576,398.307,2.83239e-06,299.124,300.358,0.276289,-1.75268e-10,-9431.61,-4.38871e-07,0.0107573,680.722,7.40356e+08
9.13182e-05,0.0090252,19.956,398.24,2.8318e-06,299.092,300.361,0.276293,-1.74882e-10,-9394.09,-4.37903e-07,0.0110636,680.749,7.40356e+08
9.47004e-05,0.00902613,19.9543,398.174,2.83121e-06,299.061,300.365,0.276296,-1.74497e-10,-9356.73,-4.36941e-07,0.0113688,680.776,7.40356e+08
9.80825e-05,0.00902707,19.9527,398.109,2.83062e-06,299.029,300.368,0.276299,-1.74115e-10,-9319.52,-4.35983e-07,0.0116728,680.803,7.40356e+08
0.000101465,0.009028,19.951,398.043,2.83003e-06,298.997,300.371,0.276302,-1.73734e-10,-9282.46,-4.35031e-07,0.0119757,680.83,7.40356e+08
0.000104847,0.00902893,19.9494,397.978,2.82944e-06,298.966,300.375,0.276305,-1.73356e-10,-9245.56,-4.34084e-07,0.0122774,680.856,7.40356e+08
0.000108229,0.00902987,19.9477,397.912,2.82886e-06,298.935,300.378,0.276308,-1.7298e-10,-9208.81,-4.33142e-07,0.0125779,680.883,7.40356e+08
0.000111611,0.0090308,19.9461,397.847,2.82827e-06,298.904,300.382,0.276312,-1.72606e-10,-9172.21,-4.32205e-07,0.0128773,680.909,7.40356e+08
0.000114993,0.00903173,19.9445,397.782,2.82769e-06,298.873,300.385,0.276315,-1.72233e-10,-9135.76,-4.31273e-07,0.0131756,680.936,7.40356e+08
0.000118375,0.00903267,19.9429,397.717,2.82711e-06,298.842,300.388,0.276318,-1.71863e-10,-9099.46,-4.30346e-07,0.0134728,680.962,7.40356e+08
0.000121758,0.0090336,19.9412,397.653,2.82653e-06,298.811,300.392,0.276321,-1.71495e-10,-9063.31,-4.29424e-07,0.0137688,680.988,7.40356e+08
0.00012514,0.00903454,19.9396,397.588,2.82595e-06,298.78,300.395,0.276324,-1.71129e-10,-9027.31,-4.28507e-07,0.0140637,681.014,7.40356e+08
0.000128522,0.00903547,19.938,397.524,2.82537e-06,298.75,300.398,0.276327,-1.70765e-10,-8991.46,-4.27594e-07,0.0143575,681.04,7.40356e+08
0.000131904,0.0090364,19.9364,397.46,2.82479e-06,298.719,300.402,0.27633,-1.70402e-10,-8955.75,-4.26687e-07,0.0146502,681.066,7.40356e+08
0.000135286,0.00903734,19.9348,397.396,2.82421e-06,298.689,300.405,0.276334,-1.70042e-10,-8920.19,-4.25785e-07,0.0149418,681.091,7.40356e+08
0.000138668,0.00903827,19.9332,397.332,2.82364e-06,298.659,300.408,0.276337,-1.69683e-10,-8884.78,-4.24887e-07,0.0152322,681.117,7.40356e+08
0.000142051,0.0090392,19.9316,397.268,2.82306e-06,298.629,300.412,0.27634,-1.69327e-10,-8849.51,-4.23994e-07,0.0155216,681.142,7.40356e+08
0.000145433,0.00904014,19.93,397.204,2.82249e-06,298.599,300.415,0.276343,-1.68972e-10,-8814.38,-4.23106e-07,0.0158099,681.168,7.40356e+08
0.000148815,0.00904107,19.9284,397.141,2.82192e-06,298.569,300.419,0.276346,-1.68619e-10,-8779.4,-4.22223e-07,0.0160971,681.193,7.40356e+08
0.000152197,0.009042,19.9268,397.078,2.82135e-06,298.539,300.422,0.276349,-1.68268e-10,-8744.55,-4.21344e-07,0.0163832,681.218,7.40356e+08
0.000155579,0.00904294,19.9252,397.014,2.82078e-06,298.51,300.425,0.276353,-1.67919e-10,-8709.86,-4.2047e-07,0.0166683,681.243,7.40356e+08
0.000158961,0.00904387,19.9236,396.952,2.82021e-06,298.48,300.429,0.276356,-1.67572e-10,-8675.3,-4.19601e-07,0.0169523,681.268,7.40356e+08
0.000162343,0.0090448,19.9221,396.889,2.81965e-06,298.451,300.432,0.276359,-1.67227e-10,-8640.88,-4.18736e-07,0.0172352,681.293,7.40356e+08
0.000165726,0.00904574,19.9205,396.826,2.81908e-06,298.422,300.435,0.276362,-1.66883e-10,-8606.6,-4.17876e-07,0.017517,681.318,7.40356e+08
0.000169108,0.00904667,19.9189,396.763,2.81852e-06,298.393,300.439,0.276365,-1.66542e-10,-8572.47,-4.1702e-07,0.0177978,681.342,7.40356e+08
0.00017249,0.0090476,19.9174,396.701,2.81795e-06,298.364,300.442,0.276368,-1.66202e-10,-8538.47,-4.16169e-07,0.0180776,681.367,7.40356e+08
