0.00301,274.32488
0.00309,286.64107
0.00319,286.64107
0.00329,286.64107
0.00353,294.85186
0.00379,303.57583
0.00388,336.93217
0.00392,378.49932
0.00394,424.17185
0.00401,545.28105
0.00403,682.29867
0.00407,815.72406
0.0041,957.36024
0.00413,1098.99642
0.00415,1245.25118
0.00418,1399.20355
0.00422,1557.26132
0.00426,1690.68671
0.00441,1807.69051
0.00471,1882.614
0.00497,1932.39194
0.00524,1957.53749
0.00555,1986.78844
0.00584,2011.42082
0.00614,2032.46098
0.00638,2044.77717
0.00664,2057.60653
0.00686,2065.81733
