# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s], Mliquid
0,0.009,50,2500,5.14158e-05,300,300.154,0.294084,0,0,0,0,785.576,7.07793e+07
3.16477e-06,0.00900093,50.0047,2500.47,5.14153e-05,299.998,300.156,0.294086,-1.59722e-10,-773.66,-3.57776e-08,0.000291242,785.578,7.07793e+07
6.32954e-06,0.00900186,50.0045,2500.45,5.14148e-05,299.995,300.158,0.294088,-1.59664e-10,-773.206,-3.57647e-08,0.000299564,785.581,7.07793e+07
9.49431e-06,0.00900279,50.0043,2500.43,5.14143e-05,299.993,300.16,0.29409,-1.59606e-10,-772.753,-3.57517e-08,0.000307884,785.583,7.07793e+07
1.26591e-05,0.00900372,50.0041,2500.41,5.14138e-05,299.99,300.162,0.294092,-1.59548e-10,-772.299,-3.57388e-08,0.000316201,785.585,7.07793e+07
1.58238e-05,0.00900465,50.0039,2500.39,5.14133e-05,299.988,300.164,0.294094,-1.5949e-10,-771.846,-3.57258e-08,0.000324516,785.587,7.07793e+07
1.89886e-05,0.00900558,50.0037,2500.37,5.14128e-05,299.985,300.166,0.294096,-1.59433e-10,-771.393,-3.57129e-08,0.000332829,785.59,7.07793e+07
2.21534e-05,0.00900651,50.0035,2500.35,5.14123e-05,299.983,300.168,0.294099,-1.59375e-10,-770.94,-3.57e-08,0.000341139,785.592,7.07793e+07
2.53181e-05,0.00900744,50.0033,2500.33,5.14118e-05,299.98,300.17,0.294101,-1.59317e-10,-770.488,-3.56871e-08,0.000349447,785.594,7.07793e+07
2.84829e-05,0.00900837,50.003,2500.3,5.14113e-05,299.978,300.172,0.294103,-1.5926e-10,-770.035,-3.56741e-08,0.000357753,785.597,7.07793e+07
3.16477e-05,0.0090093,50.0028,2500.28,5.14108e-05,299.976,300.174,0.294105,-1.59202e-10,-769.583,-3.56612e-08,0.000366057,785.599,7.07793e+07
3.48125e-05,0.00901023,50.0026,2500.26,5.14103e-05,299.973,300.177,0.294107,-1.59144e-10,-769.131,-3.56484e-08,0.000374358,785.601,7.07793e+07
3.79772e-05,0.00901116,50.0024,2500.24,5.14098e-05,299.971,300.179,0.294109,-1.59087e-10,-768.68,-3.56355e-08,0.000382657,785.603,7.07793e+07
4.1142e-05,0.00901209,50.0022,2500.22,5.14093e-05,299.968,300.181,0.294111,-1.5903e-10,-768.228,-3.56226e-08,0.000390954,785.606,7.07793e+07
4.43068e-05,0.00901302,50.002,2500.2,5.14088e-05,299.966,300.183,0.294113,-1.58972e-10,-767.777,-3.56098e-08,0.000399248,785.608,7.07793e+07
4.74715e-05,0.00901395,50.0018,2500.18,5.14083e-05,299.963,300.185,0.294115,-1.58915e-10,-767.326,-3.55969e-08,0.00040754,785.61,7.07793e+07
5.06363e-05,0.00901488,50.0016,2500.16,5.14078e-05,299.961,300.187,0.294117,-1.58857e-10,-766.875,-3.55841e-08,0.00041583,785.612,7.07793e+07
5.38011e-05,0.00901581,50.0014,2500.14,5.14073e-05,299.959,300.189,0.294119,-1.588e-10,-766.425,-3.55712e-08,0.000424118,785.615,7.07793e+07
5.69658e-05,0.00901674,50.0011,2500.11,5.14068e-05,299.956,300.191,0.294121,-1.58743e-10,-765.974,-3.55584e-08,0.000432403,785.617,7.07793e+07
6.01306e-05,0.00901767,50.0009,2500.09,5.14063e-05,299.954,300.193,0.294123,-1.58686e-10,-765.524,-3.55456e-08,0.000440686,785.619,7.07793e+07
6.32954e-05,0.0090186,50.0007,2500.07,5.14058e-05,299.951,300.195,0.294126,-1.58629e-10,-765.074,-3.55328e-08,0.000448967,785.621,7.07793e+07
6.64601e-05,0.00901953,50.0005,2500.05,5.14052e-05,299.949,300.197,0.294128,-1.58571e-10,-764.624,-3.552e-08,0.000457245,785.624,7.07793e+07
6.96249e-05,0.00902046,50.0003,2500.03,5.14047e-05,299.946,300.199,0.29413,-1.58514e-10,-764.175,-3.55072e-08,0.000465521,785.626,7.07793e+07
7.27897e-05,0.0090214,50.0001,2500.01,5.14042e-05,299.944,300.201,0.294132,-1.58457e-10,-763.726,-3.54945e-08,0.000473795,785.628,7.07793e+07
7.59544e-05,0.00902233,49.9999,2499.99,5.14037e-05,299.942,300.203,0.294134,-1.584e-10,-763.277,-3.54817e-08,0.000482066,785.63,7.07793e+07
7.91192e-05,0.00902326,49.9997,2499.97,5.14032e-05,299.939,300.206,0.294136,-1.58343e-10,-762.828,-3.54689e-08,0.000490336,785.633,7.07793e+07
8.2284e-05,0.00902419,49.9995,2499.95,5.14027e-05,299.937,300.208,0.294138,-1.58287e-10,-762.379,-3.54562e-08,0.000498603,785.635,7.07793e+07
8.54488e-05,0.00902512,49.9992,2499.92,5.14022e-05,299.934,300.21,0.29414,-1.5823e-10,-761.931,-3.54434e-08,0.000506867,785.637,7.07793e+07
8.86135e-05,0.00902605,49.999,2499.9,5.14017e-05,299.932,300.212,0.294142,-1.58173e-10,-761.483,-3.54307e-08,0.000515129,785.639,7.07793e+07
9.17783e-05,0.00902698,49.9988,2499.88,5.14012e-05,299.93,300.214,0.294144,-1.58116e-10,-761.035,-3.5418e-08,0.00052339,785.642,7.07793e+07
9.49431e-05,0.00902791,49.9986,2499.86,5.14007e-05,299.927,300.216,0.294146,-1.58059e-10,-760.587,-3.54053e-08,0.000531647,785.644,7.07793e+07
9.81078e-05,0.00902884,49.9984,2499.84,5.14002e-05,299.925,300.218,0.294148,-1.58003e-10,-760.14,-3.53926e-08,0.000539903,785.646,7.07793e+07
0.000101273,0.00902977,49.9982,2499.82,5.13997e-05,299.922,300.22,0.294151,-1.57946e-10,-759.692,-3.53799e-08,0.000548156,785.648,7.07793e+07
0.000104437,0.0090307,49.998,2499.8,5.13992e-05,299.92,300.222,0.294153,-1.57889e-10,-759.245,-3.53672e-08,0.000556407,785.651,7.07793e+07
0.000107602,0.00903163,49.9978,2499.78,5.13987e-05,299.918,300.224,0.294155,-1.57833e-10,-758.799,-3.53545e-08,0.000564655,785.653,7.07793e+07
