# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], Sm [kg/m3s], Sh [J/m3s]
0,0.006,20,400,2.84829e-06,300,299.999,0.266485,0,0
1.66667e-05,0.00600444,19.9935,399.739,2.8452e-06,299.825,299.999,0.266485,0,0.00129944
3.33333e-05,0.00600888,19.9849,399.396,2.84216e-06,299.653,299.999,0.266485,0,0.0029094
5e-05,0.00601332,19.9764,399.058,2.83914e-06,299.484,299.999,0.266485,0,0.00448703
6.66667e-05,0.00601777,19.9681,398.724,2.83616e-06,299.318,299.999,0.266485,0,0.00603309
8.33333e-05,0.00602221,19.9598,398.394,2.83322e-06,299.155,299.998,0.266485,0,0.00754834
0.0001,0.00602665,19.9516,398.068,2.8303e-06,298.996,299.998,0.266485,0,0.00903347
0.000116667,0.00603109,19.9436,397.746,2.82742e-06,298.839,299.998,0.266485,0,0.0104892
0.000133333,0.00603553,19.9356,397.428,2.82457e-06,298.685,299.998,0.266485,0,0.0119159
0.00015,0.00603997,19.9277,397.114,2.82175e-06,298.534,299.998,0.266485,0,0.0133146
0.000166667,0.00604441,19.9199,396.803,2.81896e-06,298.386,299.998,0.266485,0,0.0146858
0.000183333,0.00604886,19.9122,396.496,2.8162e-06,298.241,299.998,0.266485,0,0.0160302
0.0002,0.0060533,19.9046,396.193,2.81346e-06,298.098,299.998,0.266485,0,0.0173484
0.000216667,0.00605774,19.897,395.893,2.81076e-06,297.958,299.998,0.266484,0,0.0186409
0.000233333,0.00606218,19.8896,395.596,2.80808e-06,297.82,299.998,0.266484,0,0.0199083
0.00025,0.00606662,19.8822,395.302,2.80543e-06,297.685,299.998,0.266484,0,0.0211512
0.000266667,0.00607106,19.8749,395.012,2.8028e-06,297.552,299.998,0.266484,0,0.0223702
0.000283333,0.0060755,19.8677,394.725,2.80019e-06,297.422,299.998,0.266484,0,0.0235656
0.0003,0.00607995,19.8605,394.441,2.79762e-06,297.294,299.998,0.266484,0,0.0247381
0.000316667,0.00608439,19.8535,394.16,2.79506e-06,297.169,299.998,0.266484,0,0.025888
0.000333333,0.00608883,19.8465,393.882,2.79253e-06,297.045,299.998,0.266484,0,0.027016
0.00035,0.00609327,19.8395,393.606,2.79002e-06,296.924,299.997,0.266484,0,0.0281225
0.000366667,0.00609771,19.8326,393.334,2.78753e-06,296.805,299.997,0.266484,0,0.0292078
0.000383333,0.00610215,19.8258,393.064,2.78506e-06,296.689,299.997,0.266484,0,0.0302726
0.0004,0.00610659,19.8191,392.797,2.78262e-06,296.574,299.997,0.266484,0,0.0313171
0.000416667,0.00611104,19.8124,392.532,2.78019e-06,296.461,299.997,0.266484,0,0.0323418
0.000433333,0.00611548,19.8058,392.27,2.77779e-06,296.351,299.997,0.266484,0,0.0333472
0.00045,0.00611992,19.7993,392.01,2.7754e-06,296.242,299.997,0.266484,0,0.0343335
0.000466667,0.00612436,19.7928,391.753,2.77304e-06,296.135,299.997,0.266484,0,0.0353013
0.000483333,0.0061288,19.7863,391.498,2.77069e-06,296.031,299.997,0.266483,0,0.0362508
0.0005,0.00613324,19.7799,391.246,2.76836e-06,295.928,299.997,0.266483,0,0.0371825
0.000516667,0.00613768,19.7736,390.996,2.76605e-06,295.827,299.997,0.266483,0,0.0380965
0.000533333,0.00614213,19.7673,390.748,2.76376e-06,295.728,299.997,0.266483,0,0.0389934
0.00055,0.00614657,19.7611,390.502,2.76148e-06,295.63,299.997,0.266483,0,0.0398736
0.000566667,0.00615101,19.7549,390.258,2.75922e-06,295.534,299.996,0.266483,0,0.0407373
0.000583333,0.00615545,19.7488,390.016,2.75698e-06,295.44,299.996,0.266483,0,0.0415848
0.0006,0.00615989,19.7428,389.777,2.75475e-06,295.348,299.996,0.266483,0,0.0424166
0.000616667,0.00616433,19.7367,389.539,2.75254e-06,295.257,299.996,0.266483,0,0.0432328
0.000633333,0.00616877,19.7308,389.303,2.75034e-06,295.168,299.996,0.266483,0,0.0440339
0.00065,0.00617322,19.7248,389.069,2.74816e-06,295.08,299.996,0.266483,0,0.04482
0.000666667,0.00617766,19.719,388.837,2.74599e-06,294.994,299.996,0.266483,0,0.0455916
0.000683333,0.0061821,19.7131,388.607,2.74384e-06,294.91,299.996,0.266483,0,0.0463489
0.0007,0.00618654,19.7073,388.379,2.7417e-06,294.827,299.996,0.266482,0,0.0470921
0.000716667,0.00619098,19.7016,388.152,2.73958e-06,294.745,299.996,0.266482,0,0.0478215
0.000733333,0.00619542,19.6959,387.927,2.73747e-06,294.665,299.996,0.266482,0,0.0485375
0.00075,0.00619986,19.6902,387.704,2.73537e-06,294.587,299.995,0.266482,0,0.0492402
0.000766667,0.00620431,19.6846,387.483,2.73328e-06,294.509,299.995,0.266482,0,0.0499299
0.000783333,0.00620875,19.679,387.263,2.73121e-06,294.433,299.995,0.266482,0,0.0506069
0.0008,0.00621319,19.6734,387.044,2.72915e-06,294.359,299.995,0.266482,0,0.0512714
0.000816667,0.00621763,19.6679,386.827,2.7271e-06,294.285,299.995,0.266482,0,0.0519236
0.000833333,0.00622207,19.6624,386.612,2.72507e-06,294.213,299.995,0.266482,0,0.0525638
0.00085,0.00622651,19.657,386.398,2.72304e-06,294.143,299.995,0.266482,0,0.0531922
0.000866667,0.00623095,19.6516,386.185,2.72103e-06,294.073,299.995,0.266482,0,0.053809
0.000883333,0.0062354,19.6462,385.974,2.71902e-06,294.005,299.995,0.266482,0,0.0544144
0.0009,0.00623984,19.6409,385.765,2.71703e-06,293.938,299.995,0.266481,0,0.0550087
0.000916667,0.00624428,19.6356,385.556,2.71505e-06,293.872,299.995,0.266481,0,0.055592
0.000933333,0.00624872,19.6303,385.35,2.71308e-06,293.807,299.994,0.266481,0,0.0561645
0.00095,0.00625316,19.6251,385.144,2.71112e-06,293.743,299.994,0.266481,0,0.0567266
