  Grid,   Temperature,   Uvec,   CO,    CO2
   9.762e-03,   3.200e+02,   5.059e-01,   6.981e-16,   2.669e-16
   9.887e-03,   3.200e+02,   5.059e-01,   1.003e-16,   3.305e-17
   1.001e-02,   3.200e+02,   5.059e-01,  -2.067e-16,  -9.142e-17
   1.014e-02,   3.200e+02,   5.059e-01,  -1.974e-16,  -9.632e-17
   1.026e-02,   3.200e+02,   5.059e-01,   2.673e-16,   9.171e-17
   1.039e-02,   3.200e+02,   5.059e-01,   1.290e-16,   3.223e-17
   1.051e-02,   3.200e+02,   5.059e-01,   4.126e-16,   1.553e-16
   1.064e-02,   3.200e+02,   5.059e-01,   1.788e-17,   4.691e-18
   1.076e-02,   3.200e+02,   5.059e-01,  -5.268e-16,  -2.305e-16
   1.089e-02,   3.200e+02,   5.059e-01,   4.959e-16,   1.941e-16
   1.101e-02,   3.200e+02,   5.059e-01,  -4.605e-16,  -2.089e-16
   1.114e-02,   3.200e+02,   5.059e-01,   6.243e-16,   2.336e-16
   1.126e-02,   3.200e+02,   5.059e-01,   2.434e-16,   8.416e-17
   1.139e-02,   3.200e+02,   5.059e-01,   1.577e-16,   5.574e-17
   1.151e-02,   3.200e+02,   5.059e-01,  -2.115e-16,  -9.798e-17
   1.164e-02,   3.200e+02,   5.059e-01,   6.687e-18,  -2.037e-17
   1.176e-02,   3.200e+02,   5.059e-01,   6.238e-16,   2.386e-16
   1.189e-02,   3.200e+02,   5.059e-01,   3.706e-17,   6.300e-18
   1.202e-02,   3.200e+02,   5.059e-01,  -1.890e-16,  -9.271e-17
   1.214e-02,   3.200e+02,   5.059e-01,   3.889e-16,   1.505e-16
   1.227e-02,   3.200e+02,   5.059e-01,  -3.313e-16,  -1.487e-16
   1.239e-02,   3.200e+02,   5.059e-01,   1.506e-16,   3.776e-17
   1.252e-02,   3.200e+02,   5.059e-01,   6.557e-16,   2.561e-16
   1.264e-02,   3.200e+02,   5.059e-01,  -1.490e-16,  -6.403e-17
   1.277e-02,   3.200e+02,   5.059e-01,  -3.935e-16,  -1.765e-16
   1.289e-02,   3.200e+02,   5.059e-01,   4.574e-16,   1.744e-16
   1.302e-02,   3.200e+02,   5.059e-01,  -1.974e-16,  -1.009e-16
   1.314e-02,   3.200e+02,   5.059e-01,   6.317e-16,   2.468e-16
   1.327e-02,   3.200e+02,   5.059e-01,  -3.029e-16,  -1.401e-16
   1.339e-02,   3.200e+02,   5.059e-01,   4.268e-16,   1.605e-16
   1.352e-02,   3.200e+02,   5.059e-01,  -4.204e-17,  -3.143e-17
