# grid [m], ug [m/s], rhog, Tg [K], Yf, YO2, YOH, YCO, YCO2, phi_g, Sm, Sh, Syf
0,0.270636,1.21358,300,0.0816443,0.213019,2.71963e-20,-7.68548e-18,-1.27024e-17,0.798766,0,0,0
6.66667e-05,0.270636,1.21358,300,0.0816443,0.213019,-1.27348e-20,-1.46043e-17,-1.96623e-17,0.798766,0,0,0
0.000133333,0.270636,1.21358,300,0.0816443,0.213019,1.32418e-21,-1.45985e-17,-1.96721e-17,0.798766,0,0,0
0.0002,0.270636,1.21358,300,0.0816443,0.213019,1.03034e-21,-1.45983e-17,-1.96722e-17,0.798766,0,0,0
0.000266667,0.270636,1.21358,300,0.0816443,0.213019,7.71353e-22,-1.45981e-17,-1.96722e-17,0.798766,0,0,0
0.000333333,0.270636,1.21358,300,0.0816443,0.213019,5.77373e-22,-1.45979e-17,-1.96722e-17,0.798766,0,0,0
0.0004,0.270636,1.21358,300,0.0816443,0.213019,4.32163e-22,-1.45977e-17,-1.96722e-17,0.798766,0,0,0
0.000466667,0.270636,1.21358,300,0.0816443,0.213019,3.23461e-22,-1.45975e-17,-1.96722e-17,0.798766,0,0,0
0.000533333,0.270636,1.21358,300,0.0816443,0.213019,2.42089e-22,-1.45973e-17,-1.96722e-17,0.798766,0,0,0
0.0006,0.270636,1.21358,300,0.0816443,0.213019,1.81175e-22,-1.45972e-17,-1.96722e-17,0.798766,0,0,0
0.000666667,0.270636,1.21358,300,0.0816443,0.213019,1.35577e-22,-1.4597e-17,-1.96722e-17,0.798766,0,0,0
0.000733333,0.270636,1.21358,300,0.0816443,0.213019,1.01443e-22,-1.45968e-17,-1.96722e-17,0.798766,0,0,0
0.0008,0.270636,1.21358,300,0.0816443,0.213019,7.58908e-23,-1.45966e-17,-1.96721e-17,0.798766,0,0,0
0.000866667,0.270636,1.21358,300,0.0816443,0.213019,5.67631e-23,-1.45964e-17,-1.96721e-17,0.798766,0,0,0
0.000933333,0.270636,1.21358,300,0.0816443,0.213019,4.24446e-23,-1.45963e-17,-1.96721e-17,0.798766,0,0,0
0.001,0.270636,1.21358,300,0.0816443,0.213019,3.17261e-23,-1.45961e-17,-1.96721e-17,0.798766,0,0,0
0.00106667,0.270636,1.21358,300,0.0816443,0.213019,2.37026e-23,-1.45959e-17,-1.96721e-17,0.798766,0,0,0
0.00113333,0.270636,1.21358,300,0.0816443,0.213019,1.76963e-23,-1.45957e-17,-1.96721e-17,0.798766,0,0,0
0.0012,0.270636,1.21358,300,0.0816443,0.213019,1.32002e-23,-1.45955e-17,-1.96721e-17,0.798766,0,0,0
0.00126667,0.270636,1.21358,300,0.0816443,0.213019,9.8346e-24,-1.45953e-17,-1.96721e-17,0.798766,0,0,0
0.00133333,0.270636,1.21358,300,0.0816443,0.213019,7.3152e-24,-1.45952e-17,-1.96721e-17,0.798766,0,0,0
0.0014,0.270636,1.21358,300,0.0816443,0.213019,5.42926e-24,-1.4595e-17,-1.96721e-17,0.798766,0,0,0
0.00146667,0.270636,1.21358,300,0.0816443,0.213019,4.01751e-24,-1.45948e-17,-1.96721e-17,0.798766,0,0,0
0.00153333,0.270636,1.21358,300,0.0816443,0.213019,2.96074e-24,-1.45946e-17,-1.96721e-17,0.798766,0,0,0
0.0016,0.270636,1.21358,300,0.0816443,0.213019,2.16969e-24,-1.45944e-17,-1.96721e-17,0.798766,0,0,0
0.00166667,0.270636,1.21358,300,0.0816443,0.213019,1.57755e-24,-1.45943e-17,-1.96721e-17,0.798766,0,0,0
0.00173333,0.270636,1.21358,300,0.0816443,0.213019,1.13432e-24,-1.45941e-17,-1.96721e-17,0.798766,0,0,0
0.0018,0.270636,1.21358,300,0.0816443,0.213019,8.0254e-25,-1.45939e-17,-1.96721e-17,0.798766,0,0,0
0.00186667,0.270636,1.21358,300,0.0816443,0.213019,5.54202e-25,-1.45937e-17,-1.96721e-17,0.798766,0,0,0
0.00193333,0.270636,1.21358,300,0.0816443,0.213019,3.68322e-25,-1.45935e-17,-1.96721e-17,0.798766,0,0,0
0.002,0.270636,1.21358,300,0.0816443,0.213019,2.29196e-25,-1.45934e-17,-1.96721e-17,0.798766,0,0,0
0.00206667,0.270636,1.21358,300,0.0816443,0.213019,1.2507e-25,-1.45932e-17,-1.96721e-17,0.798766,0,0,0
0.00213333,0.270636,1.21358,300,0.0816443,0.213019,4.71427e-26,-1.4593e-17,-1.96721e-17,0.798766,0,0,0
0.0022,0.270636,1.21358,300,0.0816443,0.213019,-1.11726e-26,-1.45928e-17,-1.96721e-17,0.798766,0,0,0
0.00226667,0.270636,1.21358,300,0.0816443,0.213019,-5.48072e-26,-1.45926e-17,-1.96721e-17,0.798766,0,0,0
0.00233333,0.270636,1.21358,300,0.0816443,0.213019,-8.74522e-26,-1.45925e-17,-1.96721e-17,0.798766,0,0,0
0.0024,0.270636,1.21358,300,0.0816443,0.213019,-1.11871e-25,-1.45923e-17,-1.96721e-17,0.798766,0,0,0
0.00246667,0.270636,1.21358,300,0.0816443,0.213019,-1.30132e-25,-1.45921e-17,-1.96721e-17,0.798766,0,0,0
0.00253333,0.270636,1.21358,300,0.0816443,0.213019,-1.43783e-25,-1.45919e-17,-1.96721e-17,0.798766,0,0,0
0.0026,0.270636,1.21358,300,0.0816443,0.213019,-1.53983e-25,-1.45917e-17,-1.96721e-17,0.798766,0,0,0
0.00266667,0.270636,1.21358,300,0.0816443,0.213019,-1.61601e-25,-1.45916e-17,-1.96721e-17,0.798766,0,0,0
0.00273333,0.270636,1.21358,300,0.0816443,0.213019,-1.67285e-25,-1.45914e-17,-1.96721e-17,0.798766,0,0,0
0.0028,0.270636,1.21358,300,0.0816443,0.213019,-1.71522e-25,-1.45912e-17,-1.96721e-17,0.798766,0,0,0
0.00286667,0.270636,1.21358,300,0.0816443,0.213019,-1.74675e-25,-1.4591e-17,-1.96721e-17,0.798766,0,0,0
0.00293333,0.270636,1.21358,300,0.0816443,0.213019,-1.77017e-25,-1.45908e-17,-1.96721e-17,0.798766,0,0,0
0.003,0.270636,1.21358,300,0.0816443,0.213019,-1.78753e-25,-1.45907e-17,-1.96721e-17,0.798766,0,0,0
0.00306667,0.270636,1.21358,300,0.0816443,0.213019,-1.80033e-25,-1.45905e-17,-1.96721e-17,0.798766,0,0,0
0.00313333,0.270636,1.21358,300,0.0816443,0.213019,-1.80974e-25,-1.45903e-17,-1.96721e-17,0.798766,0,0,0
0.0032,0.270636,1.21358,300,0.0816443,0.213019,-1.8166e-25,-1.45901e-17,-1.96721e-17,0.798766,0,0,0
0.00326667,0.270636,1.21358,300,0.0816443,0.213019,-1.82155e-25,-1.45899e-17,-1.96721e-17,0.798766,0,0,0
0.00333333,0.270636,1.21358,300,0.0816443,0.213019,-1.82508e-25,-1.45898e-17,-1.96721e-17,0.798766,0,0,0
0.0034,0.270636,1.21358,300,0.0816443,0.213019,-1.82754e-25,-1.45896e-17,-1.96721e-17,0.798766,0,0,0
0.00346667,0.270636,1.21358,300,0.0816443,0.213019,-1.8292e-25,-1.45894e-17,-1.96721e-17,0.798766,0,0,0
0.00353333,0.270636,1.21358,300,0.0816443,0.213019,-1.83026e-25,-1.45892e-17,-1.96721e-17,0.798766,0,0,0
0.0036,0.270636,1.21358,300,0.0816443,0.213019,-1.83088e-25,-1.4589e-17,-1.96721e-17,0.798766,0,0,0
0.00366667,0.270636,1.21358,300,0.0816443,0.213019,-1.83116e-25,-1.45889e-17,-1.96721e-17,0.798766,0,0,0
0.00373333,0.270636,1.21358,300,0.0816443,0.213019,-1.83118e-25,-1.45887e-17,-1.96721e-17,0.798766,0,0,0
0.0038,0.270636,1.21358,300,0.0816443,0.213019,-1.83103e-25,-1.45885e-17,-1.96721e-17,0.798766,0,0,0
0.00386667,0.270636,1.21358,300,0.0816443,0.213019,-1.83073e-25,-1.45883e-17,-1.96721e-17,0.798766,0,0,0
0.00393333,0.270636,1.21358,300,0.0816443,0.213019,-1.83032e-25,-1.45881e-17,-1.96721e-17,0.798766,0,0,0
0.004,0.270636,1.21358,300,0.0816443,0.213019,-1.82984e-25,-1.4588e-17,-1.96721e-17,0.798766,0,0,0
0.00406667,0.270636,1.21358,300,0.0816443,0.213019,-1.8293e-25,-1.45878e-17,-1.96721e-17,0.798766,0,0,0
0.00413333,0.270636,1.21358,300,0.0816443,0.213019,-1.82871e-25,-1.45876e-17,-1.96721e-17,0.798766,0,0,0
0.0042,0.270636,1.21358,300,0.0816443,0.213019,-1.82809e-25,-1.45874e-17,-1.96721e-17,0.798766,0,0,0
0.00426667,0.270636,1.21358,300,0.0816443,0.213019,-1.82745e-25,-1.45873e-17,-1.96721e-17,0.798766,0,0,0
0.00433333,0.270636,1.21358,300,0.0816443,0.213019,-1.82679e-25,-1.45871e-17,-1.96721e-17,0.798766,0,0,0
0.0044,0.270636,1.21358,300,0.0816443,0.213019,-1.82611e-25,-1.45869e-17,-1.96721e-17,0.798766,0,0,0
0.00446667,0.270636,1.21358,300,0.0816443,0.213019,-1.82543e-25,-1.45867e-17,-1.96721e-17,0.798766,0,0,0
0.00453333,0.270636,1.21358,300,0.0816443,0.213019,-1.82473e-25,-1.45865e-17,-1.96721e-17,0.798766,0,0,0
0.0046,0.270636,1.21358,300,0.0816443,0.213019,-1.82403e-25,-1.45864e-17,-1.96721e-17,0.798766,0,0,0
0.00466667,0.270636,1.21358,300,0.0816443,0.213019,-1.82333e-25,-1.45862e-17,-1.9672e-17,0.798766,0,0,0
0.00473333,0.270636,1.21358,300,0.0816443,0.213019,-1.82263e-25,-1.4586e-17,-1.9672e-17,0.798766,0,0,0
0.0048,0.270636,1.21358,300,0.0816443,0.213019,-1.82192e-25,-1.45858e-17,-1.9672e-17,0.798766,0,0,0
0.00486667,0.270636,1.21358,300,0.0816443,0.213019,-1.82121e-25,-1.45856e-17,-1.96719e-17,0.798766,0,0,0
0.00493333,0.270636,1.21358,300,0.0816443,0.213019,-1.8205e-25,-1.45853e-17,-1.96718e-17,0.798766,0,0,0
0.005,0.270636,1.21358,300,0.0816443,0.213019,-1.81979e-25,-1.4585e-17,-1.96715e-17,0.798766,0,0,0
0.00506667,0.270636,1.21358,300,0.0816443,0.213019,-1.81908e-25,-1.45845e-17,-1.9671e-17,0.798766,0,0,0
0.00513333,0.270636,1.21358,300,0.0816443,0.213019,-1.81836e-25,-1.45837e-17,-1.967e-17,0.798766,0,0,0
0.0052,0.270636,1.21358,300,0.0816443,0.213019,-1.81765e-25,-1.45825e-17,-1.96682e-17,0.798766,0,0,0
0.00526667,0.270636,1.21358,300,0.0816443,0.213019,-1.81694e-25,-1.45803e-17,-1.96648e-17,0.798766,0,0,0
0.00533333,0.270636,1.21358,300,0.0816443,0.213019,-1.81623e-25,-1.45763e-17,-1.96583e-17,0.798766,0,0,0
0.0054,0.270636,1.21358,300,0.0816443,0.213019,-1.81551e-25,-1.45689e-17,-1.96461e-17,0.798766,0,0,0
0.00546667,0.270636,1.21358,300,0.0816443,0.213019,-1.8148e-25,-1.4555e-17,-1.96231e-17,0.798766,0,0,0
0.00553333,0.270636,1.21358,300,0.0816443,0.213019,-1.81408e-25,-1.45291e-17,-1.95795e-17,0.798766,0,0,0
0.0056,0.270636,1.21358,300,0.0816443,0.213019,-1.81335e-25,-1.44802e-17,-1.94973e-17,0.798766,0,0,0
