  Grid,   Temperature,   Uvec,   CO,    CO2
   9.924e-03,   8.906e+02,   1.139e+00,   2.052e-02,   1.799e-02
   9.926e-03,   9.001e+02,   1.152e+00,   2.090e-02,   1.838e-02
   9.928e-03,   9.095e+02,   1.165e+00,   2.129e-02,   1.879e-02
   9.931e-03,   9.191e+02,   1.178e+00,   2.169e-02,   1.920e-02
   9.933e-03,   9.287e+02,   1.191e+00,   2.209e-02,   1.961e-02
   9.935e-03,   9.383e+02,   1.205e+00,   2.250e-02,   2.003e-02
   9.937e-03,   9.480e+02,   1.218e+00,   2.291e-02,   2.046e-02
   9.939e-03,   9.578e+02,   1.232e+00,   2.332e-02,   2.089e-02
   9.941e-03,   9.676e+02,   1.246e+00,   2.374e-02,   2.133e-02
   9.944e-03,   9.775e+02,   1.259e+00,   2.417e-02,   2.178e-02
   9.946e-03,   9.874e+02,   1.273e+00,   2.460e-02,   2.223e-02
   9.948e-03,   9.974e+02,   1.287e+00,   2.504e-02,   2.269e-02
   9.950e-03,   1.007e+03,   1.302e+00,   2.548e-02,   2.316e-02
   9.952e-03,   1.017e+03,   1.316e+00,   2.592e-02,   2.363e-02
   9.954e-03,   1.028e+03,   1.330e+00,   2.637e-02,   2.411e-02
   9.957e-03,   1.038e+03,   1.345e+00,   2.683e-02,   2.460e-02
   9.959e-03,   1.048e+03,   1.359e+00,   2.729e-02,   2.509e-02
   9.961e-03,   1.058e+03,   1.374e+00,   2.776e-02,   2.559e-02
   9.963e-03,   1.069e+03,   1.389e+00,   2.823e-02,   2.610e-02
   9.965e-03,   1.079e+03,   1.404e+00,   2.870e-02,   2.661e-02
   9.967e-03,   1.089e+03,   1.419e+00,   2.918e-02,   2.713e-02
   9.970e-03,   1.100e+03,   1.434e+00,   2.966e-02,   2.765e-02
   9.972e-03,   1.110e+03,   1.449e+00,   3.015e-02,   2.819e-02
   9.974e-03,   1.121e+03,   1.464e+00,   3.064e-02,   2.873e-02
   9.976e-03,   1.131e+03,   1.479e+00,   3.114e-02,   2.928e-02
   9.978e-03,   1.142e+03,   1.494e+00,   3.164e-02,   2.983e-02
   9.980e-03,   1.152e+03,   1.510e+00,   3.214e-02,   3.039e-02
   9.983e-03,   1.163e+03,   1.525e+00,   3.265e-02,   3.096e-02
   9.985e-03,   1.173e+03,   1.541e+00,   3.316e-02,   3.153e-02
   9.987e-03,   1.184e+03,   1.556e+00,   3.367e-02,   3.211e-02
   9.989e-03,   1.195e+03,   1.572e+00,   3.419e-02,   3.270e-02
   9.991e-03,   1.205e+03,   1.588e+00,   3.470e-02,   3.330e-02
   9.993e-03,   1.216e+03,   1.603e+00,   3.522e-02,   3.390e-02
   9.996e-03,   1.226e+03,   1.619e+00,   3.575e-02,   3.451e-02
   9.998e-03,   1.237e+03,   1.635e+00,   3.627e-02,   3.512e-02
   1.000e-02,   1.248e+03,   1.650e+00,   3.679e-02,   3.574e-02
   1.000e-02,   1.258e+03,   1.666e+00,   3.732e-02,   3.637e-02
