  Grid,   Temperature,   Uvec,  C7H16, O2, CO2
   0.000e+00,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.172e-16
   2.503e-05,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.172e-16
   5.006e-05,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.171e-16
   7.509e-05,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.171e-16
   1.001e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.171e-16
   1.252e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.171e-16
   1.502e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.171e-16
   1.752e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.170e-16
   2.003e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.170e-16
   2.253e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.170e-16
   2.503e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.170e-16
   2.753e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.169e-16
   3.004e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.169e-16
   3.254e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.169e-16
   3.504e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.169e-16
   3.755e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.169e-16
   4.005e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.168e-16
   4.255e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.168e-16
   4.506e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.168e-16
   4.756e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.168e-16
   5.006e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.168e-16
   5.257e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.167e-16
   5.507e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.167e-16
   5.757e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.167e-16
   6.008e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.167e-16
   6.258e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.166e-16
   6.508e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.166e-16
   6.758e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.166e-16
   7.009e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.166e-16
   7.259e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.166e-16
   7.509e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.165e-16
   7.760e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.165e-16
   8.010e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.165e-16
   8.260e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.165e-16
   8.511e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.164e-16
   8.761e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.164e-16
   9.011e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.164e-16
   9.262e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.164e-16
   9.512e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.164e-16
   9.762e-04,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.163e-16
   1.001e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.163e-16
   1.026e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.163e-16
   1.051e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.163e-16
   1.076e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.163e-16
   1.101e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.162e-16
   1.126e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.162e-16
   1.151e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.162e-16
   1.176e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.162e-16
   1.202e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.161e-16
   1.227e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.161e-16
   1.252e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.161e-16
   1.277e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.161e-16
   1.302e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.161e-16
   1.327e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.160e-16
   1.352e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.160e-16
   1.377e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.160e-16
   1.402e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.160e-16
   1.427e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.159e-16
   1.452e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.159e-16
   1.477e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.159e-16
   1.502e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.159e-16
   1.527e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.159e-16
   1.552e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.158e-16
   1.577e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.158e-16
   1.602e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.158e-16
   1.627e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.158e-16
   1.652e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.158e-16
   1.677e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.157e-16
   1.702e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.157e-16
   1.727e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.157e-16
   1.752e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.157e-16
   1.777e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.156e-16
   1.802e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.156e-16
   1.827e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.156e-16
   1.852e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.156e-16
   1.877e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.156e-16
   1.902e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.155e-16
   1.927e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.155e-16
   1.952e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.155e-16
   1.977e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.155e-16
   2.003e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.155e-16
   2.028e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.154e-16
   2.053e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.154e-16
   2.078e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.154e-16
   2.103e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.154e-16
   2.128e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.153e-16
   2.153e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.153e-16
   2.178e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.153e-16
   2.203e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.153e-16
   2.228e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.153e-16
   2.253e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.152e-16
   2.278e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.152e-16
   2.303e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.152e-16
   2.328e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.152e-16
   2.353e-03,   3.000e+02,   2.704e-01,   5.020e-02,   2.203e-01,   2.151e-16
