  Grid,   Temperature,   Uvec,  C7H16, O2, CO2
   3.208e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.258e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.308e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.358e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.409e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.459e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.509e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.559e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.609e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.659e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.709e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.759e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.810e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.860e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.910e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   3.960e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   4.010e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   4.060e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.297e-17
   4.110e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.298e-17
   4.160e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.298e-17
   4.211e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.298e-17
   4.261e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.298e-17
   4.311e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.299e-17
   4.361e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.299e-17
   4.411e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.301e-17
   4.461e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.303e-17
   4.511e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.308e-17
   4.561e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.316e-17
   4.612e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.331e-17
   4.662e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.356e-17
   4.712e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.402e-17
   4.762e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.484e-17
   4.812e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.628e-17
   4.862e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -4.884e-17
   4.912e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -5.338e-17
   4.962e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -6.142e-17
   5.013e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -7.566e-17
   5.063e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -1.009e-16
   5.113e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -1.456e-16
   5.163e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -2.246e-16
   5.213e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -3.643e-16
   5.263e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -6.112e-16
   5.313e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -1.048e-15
   5.363e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -1.818e-15
   5.414e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -3.180e-15
   5.464e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -5.601e-15
   5.514e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -9.756e-15
   5.564e-03,   3.000e+02,   3.123e-01,   5.612e-02,   2.189e-01,  -1.709e-14
