  Grid,   Temperature,   Uvec,  C7H16, O2, CO2
   6.533e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.067e-09
   6.633e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.586e-09
   6.734e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   2.326e-09
   6.834e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   3.365e-09
   6.935e-03,   2.999e+02,   2.666e-01,   5.020e-02,   2.203e-01,   4.802e-09
   7.035e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   6.763e-09
   7.136e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   9.404e-09
   7.236e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.291e-08
   7.337e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.752e-08
   7.437e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   2.352e-08
   7.538e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   3.125e-08
   7.638e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   4.121e-08
   7.739e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   5.408e-08
   7.839e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   7.106e-08
   7.940e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   9.437e-08
   8.040e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.286e-07
   8.141e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   1.837e-07
   8.241e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   2.819e-07
   8.342e-03,   2.998e+02,   2.666e-01,   5.020e-02,   2.203e-01,   4.741e-07
   8.442e-03,   2.998e+02,   2.666e-01,   5.019e-02,   2.203e-01,   8.760e-07
   8.543e-03,   2.998e+02,   2.666e-01,   5.019e-02,   2.203e-01,   1.754e-06
   8.643e-03,   2.999e+02,   2.666e-01,   5.019e-02,   2.203e-01,   3.718e-06
   8.744e-03,   2.999e+02,   2.667e-01,   5.019e-02,   2.203e-01,   8.172e-06
   8.844e-03,   3.001e+02,   2.668e-01,   5.018e-02,   2.203e-01,   1.834e-05
   8.945e-03,   3.004e+02,   2.671e-01,   5.016e-02,   2.202e-01,   4.161e-05
   9.045e-03,   3.011e+02,   2.677e-01,   5.012e-02,   2.202e-01,   9.491e-05
   9.146e-03,   3.027e+02,   2.692e-01,   5.003e-02,   2.199e-01,   2.167e-04
   9.246e-03,   3.063e+02,   2.725e-01,   4.982e-02,   2.195e-01,   4.930e-04
   9.347e-03,   3.146e+02,   2.800e-01,   4.934e-02,   2.184e-01,   1.110e-03
   9.447e-03,   3.328e+02,   2.966e-01,   4.831e-02,   2.161e-01,   2.444e-03
   9.548e-03,   3.710e+02,   3.315e-01,   4.622e-02,   2.115e-01,   5.151e-03
   9.648e-03,   4.448e+02,   3.993e-01,   4.239e-02,   2.030e-01,   1.011e-02
   9.749e-03,   5.717e+02,   5.170e-01,   3.619e-02,   1.893e-01,   1.817e-02
   9.849e-03,   7.642e+02,   6.986e-01,   2.718e-02,   1.692e-01,   2.988e-02
