# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s]
0,0,25,625,6.42698e-06,300,300,0.346342
5e-05,1.73171e-05,24.9985,624.923,6.42449e-06,299.903,300,0.346342
0.0001,3.46342e-05,24.9944,624.719,6.42206e-06,299.809,300,0.346342
0.00015,5.19513e-05,24.9904,624.52,6.41968e-06,299.718,300,0.346342
0.0002,6.92684e-05,24.9865,624.325,6.41735e-06,299.629,300,0.346342
0.00025,8.65856e-05,24.9827,624.135,6.41508e-06,299.543,300,0.346342
0.0003,0.000103903,24.979,623.95,6.41285e-06,299.46,300,0.346342
0.00035,0.00012122,24.9754,623.769,6.41067e-06,299.379,300,0.346342
0.0004,0.000138537,24.9718,623.592,6.40854e-06,299.301,300,0.346342
0.00045,0.000155854,24.9684,623.419,6.40645e-06,299.225,300,0.346342
0.0005,0.000173171,24.965,623.25,6.40441e-06,299.151,300,0.346342
0.00055,0.000190488,24.9617,623.085,6.4024e-06,299.079,300,0.346342
0.0006,0.000207805,24.9584,622.923,6.40044e-06,299.009,300,0.346342
0.00065,0.000225122,24.9553,622.765,6.39851e-06,298.942,300,0.346342
0.0007,0.00024244,24.9522,622.61,6.39662e-06,298.876,300,0.346342
0.00075,0.000259757,24.9491,622.459,6.39477e-06,298.813,300,0.346342
0.0008,0.000277074,24.9461,622.31,6.39295e-06,298.751,300,0.346342
0.00085,0.000294391,24.9432,622.165,6.39117e-06,298.691,300,0.346342
0.0009,0.000311708,24.9404,622.023,6.38942e-06,298.633,300,0.346342
0.00095,0.000329025,24.9376,621.884,6.3877e-06,298.576,300,0.346342
0.001,0.000346342,24.9349,621.747,6.38601e-06,298.522,300,0.346342
0.00105,0.000363659,24.9322,621.614,6.38435e-06,298.468,300,0.346342
0.0011,0.000380976,24.9295,621.482,6.38272e-06,298.417,300,0.346342
0.00115,0.000398294,24.927,621.354,6.38111e-06,298.367,300,0.346342
0.0012,0.000415611,24.9244,621.228,6.37954e-06,298.318,300,0.346342
0.00125,0.000432928,24.922,621.104,6.37799e-06,298.27,300,0.346342
0.0013,0.000450245,24.9195,620.982,6.37646e-06,298.225,300,0.346342
0.00135,0.000467562,24.9171,620.863,6.37496e-06,298.18,300,0.346342
0.0014,0.000484879,24.9148,620.746,6.37348e-06,298.137,300,0.346342
0.00145,0.000502196,24.9125,620.631,6.37203e-06,298.095,300,0.346342
0.0015,0.000519513,24.9102,620.518,6.3706e-06,298.054,300,0.346342
0.00155,0.00053683,24.908,620.407,6.36918e-06,298.014,300,0.346342
0.0016,0.000554148,24.9058,620.298,6.36779e-06,297.975,300,0.346342
0.00165,0.000571465,24.9036,620.191,6.36642e-06,297.938,300,0.346342
0.0017,0.000588782,24.9015,620.086,6.36507e-06,297.902,300,0.346342
0.00175,0.000606099,24.8994,619.982,6.36374e-06,297.866,300,0.346342
0.0018,0.000623416,24.8974,619.88,6.36243e-06,297.832,300,0.346342
0.00185,0.000640733,24.8954,619.78,6.36113e-06,297.799,300,0.346342
0.0019,0.00065805,24.8934,619.681,6.35986e-06,297.767,300,0.346342
0.00195,0.000675367,24.8914,619.584,6.3586e-06,297.735,300,0.346342
0.002,0.000692684,24.8895,619.488,6.35735e-06,297.705,300,0.346342
0.00205,0.000710002,24.8876,619.394,6.35612e-06,297.675,300,0.346342
0.0021,0.000727319,24.8858,619.301,6.35491e-06,297.646,300,0.346342
0.00215,0.000744636,24.8839,619.209,6.35371e-06,297.618,300,0.346342
0.0022,0.000761953,24.8821,619.119,6.35252e-06,297.591,300,0.346342
0.00225,0.00077927,24.8803,619.03,6.35135e-06,297.565,300,0.346342
0.0023,0.000796587,24.8786,618.943,6.35019e-06,297.539,300,0.346342
0.00235,0.000813904,24.8768,618.856,6.34905e-06,297.514,300,0.346342
0.0024,0.000831221,24.8751,618.771,6.34792e-06,297.49,300,0.346342
0.00245,0.000848538,24.8734,618.687,6.3468e-06,297.466,300,0.346342
0.0025,0.000865856,24.8717,618.604,6.34569e-06,297.444,300,0.346342
0.00255,0.000883173,24.8701,618.522,6.3446e-06,297.421,300,0.346342
0.0026,0.00090049,24.8685,618.441,6.34351e-06,297.4,300,0.346342
0.00265,0.000917807,24.8669,618.361,6.34244e-06,297.379,300,0.346342
0.0027,0.000935124,24.8653,618.282,6.34137e-06,297.359,300,0.346342
0.00275,0.000952441,24.8637,618.204,6.34032e-06,297.339,300,0.346342
0.0028,0.000969758,24.8622,618.127,6.33928e-06,297.32,300,0.346342
0.00285,0.000987075,24.8606,618.051,6.33825e-06,297.301,300,0.346342
0.0029,0.00100439,24.8591,617.975,6.33722e-06,297.283,300,0.346342
0.00295,0.00102171,24.8576,617.901,6.33621e-06,297.265,300,0.346342
0.003,0.00103903,24.8561,617.827,6.3352e-06,297.248,300,0.346342
0.00305,0.00105634,24.8547,617.754,6.33421e-06,297.232,300,0.346342
0.0031,0.00107366,24.8532,617.682,6.33322e-06,297.215,300,0.346342
0.00315,0.00109098,24.8518,617.611,6.33224e-06,297.2,300,0.346342
0.0032,0.0011083,24.8504,617.54,6.33126e-06,297.184,300,0.346342
0.00325,0.00112561,24.849,617.47,6.3303e-06,297.17,300,0.346342
0.0033,0.00114293,24.8476,617.401,6.32934e-06,297.155,300,0.346342
0.00335,0.00116025,24.8462,617.333,6.32839e-06,297.141,300,0.346342
0.0034,0.00117756,24.8448,617.265,6.32745e-06,297.128,300,0.346342
0.00345,0.00119488,24.8435,617.197,6.32651e-06,297.114,300,0.346342
0.0035,0.0012122,24.8421,617.131,6.32558e-06,297.102,300,0.346342
0.00355,0.00122951,24.8408,617.065,6.32466e-06,297.089,300,0.346342
0.0036,0.00124683,24.8395,616.999,6.32374e-06,297.077,300,0.346342
0.00365,0.00126415,24.8382,616.934,6.32283e-06,297.065,300,0.346342
0.0037,0.00128147,24.8369,616.87,6.32192e-06,297.054,300,0.346342
0.00375,0.00129878,24.8356,616.806,6.32102e-06,297.043,300,0.346342
0.0038,0.0013161,24.8343,616.742,6.32013e-06,297.032,300,0.346342
0.00385,0.00133342,24.833,616.679,6.31924e-06,297.021,300,0.346342
0.0039,0.00135073,24.8318,616.617,6.31836e-06,297.011,300,0.346342
0.00395,0.00136805,24.8305,616.555,6.31748e-06,297.001,300,0.346342
0.004,0.00138537,24.8293,616.494,6.3166e-06,296.992,300,0.346342
0.00405,0.00140269,24.8281,616.433,6.31573e-06,296.982,300,0.346342
0.0041,0.00142,24.8268,616.372,6.31487e-06,296.973,300,0.346342
0.00415,0.00143732,24.8256,616.312,6.31401e-06,296.964,300,0.346342
0.0042,0.00145464,24.8244,616.252,6.31315e-06,296.956,300,0.346342
0.00425,0.00147195,24.8232,616.192,6.3123e-06,296.947,300,0.346342
0.0043,0.00148927,24.822,616.133,6.31146e-06,296.939,300,0.346342
0.00435,0.00150659,24.8209,616.075,6.31061e-06,296.931,300,0.346342
0.0044,0.00152391,24.8197,616.016,6.30977e-06,296.924,300,0.346342
0.00445,0.00154122,24.8185,615.959,6.30894e-06,296.916,300,0.346342
0.0045,0.00155854,24.8174,615.901,6.30811e-06,296.909,300,0.346342
0.00455,0.00157586,24.8162,615.844,6.30728e-06,296.902,300,0.346342
0.0046,0.00159317,24.815,615.787,6.30646e-06,296.895,300,0.346342
0.00465,0.00161049,24.8139,615.73,6.30563e-06,296.889,300,0.346342
0.0047,0.00162781,24.8128,615.674,6.30482e-06,296.882,300,0.346342
0.00475,0.00164513,24.8116,615.618,6.304e-06,296.876,300,0.346342
0.0048,0.00166244,24.8105,615.562,6.30319e-06,296.87,300,0.346342
0.00485,0.00167976,24.8094,615.506,6.30238e-06,296.864,300,0.346342
0.0049,0.00169708,24.8083,615.451,6.30158e-06,296.858,300,0.346342
0.00495,0.00171439,24.8072,615.396,6.30077e-06,296.853,300,0.346342
0.005,0.00173171,24.8061,615.341,6.29997e-06,296.847,300,0.346342
0.00505,0.00174903,24.805,615.287,6.29918e-06,296.842,300,0.346342
0.0051,0.00176635,24.8039,615.233,6.29838e-06,296.837,300,0.346342
0.00515,0.00178366,24.8028,615.179,6.29759e-06,296.832,300,0.346342
0.0052,0.00180098,24.8017,615.125,6.2968e-06,296.827,300,0.346342
0.00525,0.0018183,24.8006,615.071,6.29601e-06,296.822,300,0.346342
0.0053,0.00183561,24.7996,615.018,6.29523e-06,296.818,300,0.346342
0.00535,0.00185293,24.7985,614.965,6.29444e-06,296.813,300,0.346342
0.0054,0.00187025,24.7974,614.912,6.29366e-06,296.809,300,0.346342
0.00545,0.00188757,24.7964,614.859,6.29288e-06,296.805,300,0.346342
0.0055,0.00190488,24.7953,614.807,6.29211e-06,296.801,300,0.346342
0.00555,0.0019222,24.7942,614.754,6.29133e-06,296.797,300,0.346342
0.0056,0.00193952,24.7932,614.702,6.29056e-06,296.793,300,0.346342
0.00565,0.00195683,24.7921,614.65,6.28979e-06,296.789,300,0.346342
0.0057,0.00197415,24.7911,614.599,6.28902e-06,296.786,300,0.346342
0.00575,0.00199147,24.7901,614.547,6.28825e-06,296.782,300,0.346342
0.0058,0.00200878,24.789,614.495,6.28749e-06,296.779,300,0.346342
0.00585,0.0020261,24.788,614.444,6.28673e-06,296.775,300,0.346342
0.0059,0.00204342,24.7869,614.393,6.28596e-06,296.772,300,0.346342
0.00595,0.00206074,24.7859,614.342,6.2852e-06,296.769,300,0.346342
0.006,0.00207805,24.7849,614.291,6.28445e-06,296.766,300,0.346342
0.00605,0.00209537,24.7839,614.24,6.28369e-06,296.763,300,0.346342
0.0061,0.00211269,24.7828,614.189,6.28293e-06,296.76,300,0.346342
0.00615,0.00213,24.7818,614.139,6.28218e-06,296.757,300,0.346342
0.0062,0.00214732,24.7808,614.089,6.28143e-06,296.754,300,0.346342
0.00625,0.00216464,24.7798,614.038,6.28067e-06,296.752,300,0.346342
0.0063,0.00218196,24.7788,613.988,6.27992e-06,296.749,300,0.346342
0.00635,0.00219927,24.7778,613.938,6.27918e-06,296.747,300,0.346342
0.0064,0.00221659,24.7768,613.888,6.27843e-06,296.744,300,0.346342
0.00645,0.00223391,24.7758,613.839,6.27768e-06,296.742,300,0.346342
0.0065,0.00225122,24.7748,613.789,6.27694e-06,296.74,300,0.346342
0.00655,0.00226854,24.7738,613.739,6.27619e-06,296.737,300,0.346342
0.0066,0.00228586,24.7728,613.69,6.27545e-06,296.735,300,0.346342
0.00665,0.00230318,24.7718,613.64,6.27471e-06,296.733,300,0.346342
0.0067,0.00232049,24.7708,613.591,6.27397e-06,296.731,300,0.346342
0.00675,0.00233781,24.7698,613.542,6.27323e-06,296.729,300,0.346342
0.0068,0.00235513,24.7688,613.493,6.27249e-06,296.727,300,0.346342
0.00685,0.00237244,24.7678,613.444,6.27175e-06,296.725,300,0.346342
0.0069,0.00238976,24.7668,613.395,6.27101e-06,296.723,300,0.346342
0.00695,0.00240708,24.7658,613.346,6.27028e-06,296.722,300,0.346342
0.007,0.0024244,24.7648,613.297,6.26954e-06,296.72,300,0.346342
0.00705,0.00244171,24.7639,613.249,6.26881e-06,296.718,300,0.346342
0.0071,0.00245903,24.7629,613.2,6.26808e-06,296.716,300,0.346342
0.00715,0.00247635,24.7619,613.151,6.26734e-06,296.715,300,0.346342
0.0072,0.00249366,24.7609,613.103,6.26661e-06,296.713,300,0.346342
0.00725,0.00251098,24.7599,613.055,6.26588e-06,296.712,300,0.346342
0.0073,0.0025283,24.759,613.006,6.26515e-06,296.71,300,0.346342
0.00735,0.00254562,24.758,612.958,6.26442e-06,296.709,300,0.346342
0.0074,0.00256293,24.757,612.91,6.26369e-06,296.708,300,0.346342
0.00745,0.00258025,24.756,612.862,6.26296e-06,296.706,300,0.346342
0.0075,0.00259757,24.7551,612.814,6.26224e-06,296.705,300,0.346342
0.00755,0.00261488,24.7541,612.766,6.26151e-06,296.704,300,0.346342
0.0076,0.0026322,24.7531,612.718,6.26078e-06,296.703,300,0.346342
0.00765,0.00264952,24.7522,612.67,6.26006e-06,296.701,300,0.346342
0.0077,0.00266684,24.7512,612.622,6.25933e-06,296.7,300,0.346342
0.00775,0.00268415,24.7502,612.574,6.25861e-06,296.699,300,0.346342
0.0078,0.00270147,24.7493,612.526,6.25788e-06,296.698,300,0.346342
0.00785,0.00271879,24.7483,612.479,6.25716e-06,296.697,300,0.346342
0.0079,0.0027361,24.7473,612.431,6.25644e-06,296.696,300,0.346342
0.00795,0.00275342,24.7464,612.383,6.25572e-06,296.695,300,0.346342
0.008,0.00277074,24.7454,612.336,6.255e-06,296.694,300,0.346342
0.00805,0.00278805,24.7445,612.288,6.25427e-06,296.693,300,0.346342
0.0081,0.00280537,24.7435,612.241,6.25355e-06,296.692,300,0.346342
0.00815,0.00282269,24.7425,612.193,6.25283e-06,296.691,300,0.346342
0.0082,0.00284001,24.7416,612.146,6.25211e-06,296.69,300,0.346342
